"sentence_id","mean_surprisal","weight_first","weight_last","weight_sum","normalized","wh","matrix","comp","embedded","gap","matrix_norm","comp_norm","embedded_norm","gap_norm","beyond"
14,7.916505358048847,7.140549104059229,9.21021881764244,8.175383960850834,0.9975123549453864,0,0,0,0,0,0,0,0,0,1.3588266405431944
15,7.779683268070221,7.80163605462609,11.522219421474285,9.661927738050188,0.9193314125490846,0,0,0,0,0,0,0,0,0,1.1423122988939889
16,7.17520119656216,11.967139278446654,9.396309999660795,10.681724639053725,0.8706547147057336,0,0,0,0,0,0,0,0,0,1.6194058608208497
17,6.791590716689825,6.146441114020357,9.04264983629269,7.594545475156521,0.9590199636619761,0,0,0,0,0,0,0,0,0,1.8715657109882642
18,14.750110467274984,14.097005241025192,12.612117998786077,13.354561619905635,2.184335757926147,0,0,0,0,0,0,0,0,0,2.184335757926147
19,7.811096274852753,13.049289311226167,6.985254478182676,10.017271894704422,0.8965223365222068,0,0,0,0,0,0,0,0,0,1.3946408437615048
20,8.978846962635334,12.045349066661505,9.403477262802115,10.724413164731809,0.977370569744376,0,0,0,0,0,0,0,0,0,1.2046020805735942
21,10.27856975368091,12.959511191430042,10.193822165173797,11.576666678301923,1.0836364281945805,0,0,0,0,0,0,0,0,0,1.281617106090745
22,7.925651669502258,6.321780015494797,9.413163019971002,7.8674715177329,0.9394499156864853,0,0,0,0,0,0,0,0,0,1.6751262205489597
23,6.76289119720459,6.420499822607047,9.871792319575231,8.14614607109114,1.074475359172169,0,0,0,0,0,0,0,0,0,1.885479455030275
24,6.443131196498871,10.071661261814949,8.279916493182691,9.175788877498821,0.8285352805503505,0,0,0,0,0,0,0,0,0,1.4958247487424137
25,9.889997804164887,11.213583511119348,11.145236005593008,11.17940975835618,1.309277764084627,0,0,0,0,0,0,0,0,0,1.9054946292204782
26,7.776963186264038,5.830763911672715,11.25517242437506,8.542968168023888,1.0964322238695483,0,0,0,0,0,0,0,0,0,2.0049035527289267
27,11.557226691927228,11.316847678929372,11.60958830670936,11.463217992819368,1.2617506988027405,0,0,0,0,0,0,0,0,0,1.344745158880511
28,9.34056043624878,6.944591126243463,11.33211014781938,9.13835063703142,1.3200293623989452,0,0,0,0,0,0,0,0,0,2.0482237580157636
29,8.617596673965455,11.586564555225879,8.365501713918299,9.976033134572088,1.0259563230960476,0,0,0,0,0,0,0,0,0,1.5458500937463118
30,9.476307994789547,9.026671350289615,15.061198949281398,12.043935149785504,1.1249642835668954,0,0,0,0,0,0,0,0,0,2.0036619336263675
31,9.819976011912027,6.951109983430928,9.100074407391935,8.02559219541143,1.171253022193158,0,0,0,0,0,0,0,0,0,1.5805757241171132
32,12.115183194478353,13.768119194140398,13.425606353365076,13.596862773752736,1.4517417535131862,0,0,0,0,0,0,0,0,0,1.6337895074976878
33,9.661834991895235,6.982134661729711,13.152196787610713,10.067165724670213,1.1759425936864687,0,0,0,0,0,0,0,0,0,1.4187150441489258
34,9.285045306922662,7.512976162063125,12.109405072088126,9.811190617075626,0.9437133643926098,0,0,0,0,0,0,0,0,0,1.45227204108948
35,9.92836036067456,6.571222608238709,13.929041161762049,10.250131885000378,1.131072849630662,0,0,0,0,0,0,0,0,0,1.480935916469232
36,9.852810973922411,6.533538370569857,11.777532552605962,9.155535461587908,1.097378367284233,0,0,0,0,0,0,0,0,0,1.3847152757041084
37,9.047695272847227,7.500999402790327,8.37056474218428,7.935782072487305,1.0684754659011622,0,0,0,0,0,0,0,0,0,1.3930417813161984
38,7.989351987838745,6.322184207924012,11.249054195863494,8.785619201893752,1.0106089598924815,0,0,0,0,0,0,0,0,0,1.5896271788527254
39,9.887986992086683,7.475011573081845,12.724624376454504,10.099817974768174,1.1673126087469465,0,0,0,0,0,0,0,0,0,1.3687277175624304
40,9.040551296869914,7.275505112327531,10.260079048005304,8.76779208016642,1.0084793186377072,0,0,0,0,0,0,0,0,0,1.5013410988852385
41,8.965717572432299,6.976697857865845,9.053077049426115,8.01488745364598,0.9620941825475424,0,0,0,0,0,0,0,0,0,1.161253522223097
42,8.616997888518704,7.861716753152381,8.885085656868512,8.373401205010445,0.7529246409116039,0,0,0,0,0,0,0,0,0,1.100375311154714
43,9.062293681083247,6.561415654965011,11.307043666381327,8.934229660673171,0.9151065475885681,0,0,0,0,0,0,0,0,0,1.1212736447360205
44,9.278391267855962,6.565848386142105,8.775460877385822,7.670654631763964,0.9478950772573446,0,0,0,0,0,0,0,0,0,1.2040982966362948
45,8.295065376493666,7.571036192301744,8.867001587131075,8.219018889716411,0.9136663455308791,0,0,0,0,0,0,0,0,0,1.282434320036621
46,7.250334784388542,6.3181872554785645,8.587598945921151,7.452893100699858,0.8040293257941147,0,0,0,0,0,0,0,0,0,1.3339879099655678
47,9.15953918014254,7.50122320389655,9.734392431532392,8.617807817714471,0.953124912020087,0,0,0,0,0,0,0,0,0,1.1620613939615594
48,8.313862347602845,7.287040127471421,10.243963300413698,8.765501713942559,0.8087715894612785,0,0,0,0,0,0,0,0,0,1.1829354443903692
49,8.93694226558392,6.9778409259823135,11.775102706838933,9.376471816410623,1.146039011366666,0,0,0,0,0,0,0,0,0,1.5341457963169318
50,8.878811864596274,7.510965521967167,12.163364630339526,9.837165076153346,0.9436840886156213,0,0,0,0,0,0,0,0,0,1.5151588455810445
51,8.823227539658546,6.570806476939677,13.019788913435608,9.795297695187642,1.094979687630125,0,0,0,0,0,0,0,0,0,1.5496205052198948
52,8.717289529244105,6.530413000422149,11.695866584865861,9.113139792644004,1.0633810691477386,0,0,0,0,0,0,0,0,0,1.4735675193829134
53,7.599752156358016,7.496960003685705,8.407001831334483,7.951980917510094,1.006852799103808,0,0,0,0,0,0,0,0,0,1.4402639761010385
54,7.2863034307956696,6.321107849889814,11.126545743335022,8.723826796612418,0.9971948593860387,0,0,0,0,0,0,0,0,0,1.828378689663139
55,8.206540550788244,7.467786859267324,11.83585949534486,9.651823177306092,1.0490067410033739,0,0,0,0,0,0,0,0,0,1.543706212324441
56,7.206330388784409,7.264774649586901,10.27928655020518,8.772030599896041,0.9133131897993914,0,0,0,0,0,0,0,0,0,1.5315612360276232
57,8.166898470658522,6.944117604993463,9.44114931024323,8.192633457618347,0.9609345549247865,0,0,0,0,0,0,0,0,0,1.175788061205635
