subject,gender,age,recall,n2,n3,n4,survey,order,condition,subdesign,structure,distance,item,raw.judgment,zscores
1,F,19,2.2,2.48,1.81,0.67,2a,27,ILL.rep,ill,rep,,ILL.rep.06,300,0.518553148
1,F,19,2.2,2.48,1.81,0.67,2a,52,ILL.rep,ill,rep,,ILL.rep.10,50,-0.977273241
1,F,19,2.2,2.48,1.81,0.67,2a,78,ILL.rep,ill,rep,,ILL.rep.14,210,-0.019944352
1,F,19,2.2,2.48,1.81,0.67,2a,28,NP.isl.em,np,island,embedded,NP.isl.em.03,50,-0.977273241
1,F,19,2.2,2.48,1.81,0.67,2a,68,NP.isl.em,np,island,embedded,NP.isl.em.07,100,-0.678107963
1,F,19,2.2,2.48,1.81,0.67,2a,79,NP.isl.em,np,island,embedded,NP.isl.em.11,100,-0.678107963
1,F,19,2.2,2.48,1.81,0.67,2a,6,NP.isl.em,np,island,embedded,NP.isl.em.15,275,0.368970509
1,F,19,2.2,2.48,1.81,0.67,2a,40,NP.isl.ma,np,island,matrix,NP.isl.ma.04,100,-0.678107963
1,F,19,2.2,2.48,1.81,0.67,2a,66,NP.isl.ma,np,island,matrix,NP.isl.ma.08,95,-0.708024491
1,F,19,2.2,2.48,1.81,0.67,2a,74,NP.isl.ma,np,island,matrix,NP.isl.ma.12,200,-0.079777407
1,F,19,2.2,2.48,1.81,0.67,2a,8,NP.isl.ma,np,island,matrix,NP.isl.ma.16,500,1.71521426
1,F,19,2.2,2.48,1.81,0.67,2a,14,NP.non.em,np,non,embedded,NP.non.em.01,500,1.71521426
1,F,19,2.2,2.48,1.81,0.67,2a,33,NP.non.em,np,non,embedded,NP.non.em.05,500,1.71521426
1,F,19,2.2,2.48,1.81,0.67,2a,71,NP.non.em,np,non,embedded,NP.non.em.09,100,-0.678107963
1,F,19,2.2,2.48,1.81,0.67,2a,86,NP.non.em,np,non,embedded,NP.non.em.13,50,-0.977273241
1,F,19,2.2,2.48,1.81,0.67,2a,24,NP.non.ma,np,non,matrix,NP.non.ma.02,275,0.368970509
1,F,19,2.2,2.48,1.81,0.67,2a,30,NP.non.ma,np,non,matrix,NP.non.ma.06,300,0.518553148
1,F,19,2.2,2.48,1.81,0.67,2a,63,NP.non.ma,np,non,matrix,NP.non.ma.10,100,-0.678107963
1,F,19,2.2,2.48,1.81,0.67,2a,94,NP.non.ma,np,non,matrix,NP.non.ma.14,95,-0.708024491
1,F,19,2.2,2.48,1.81,0.67,2a,81,SUB.isl.em,sub,island,embedded,SUB.isl.em.03,100,-0.678107963
1,F,19,2.2,2.48,1.81,0.67,2a,17,SUB.isl.em,sub,island,embedded,SUB.isl.em.07,25,-1.12685588
1,F,19,2.2,2.48,1.81,0.67,2a,44,SUB.isl.em,sub,island,embedded,SUB.isl.em.11,25,-1.12685588
1,F,19,2.2,2.48,1.81,0.67,2a,62,SUB.isl.em,sub,island,embedded,SUB.isl.em.15,100,-0.678107963
1,F,19,2.2,2.48,1.81,0.67,2a,76,SUB.isl.ma,sub,island,matrix,SUB.isl.ma.04,100,-0.678107963
1,F,19,2.2,2.48,1.81,0.67,2a,11,SUB.isl.ma,sub,island,matrix,SUB.isl.ma.08,575,2.163962176
1,F,19,2.2,2.48,1.81,0.67,2a,34,SUB.isl.ma,sub,island,matrix,SUB.isl.ma.12,500,1.71521426
1,F,19,2.2,2.48,1.81,0.67,2a,57,SUB.isl.ma,sub,island,matrix,SUB.isl.ma.16,205,-0.04986088
1,F,19,2.2,2.48,1.81,0.67,2a,69,SUB.non.em,sub,non,embedded,SUB.non.em.01,445,1.386132454
1,F,19,2.2,2.48,1.81,0.67,2a,87,SUB.non.em,sub,non,embedded,SUB.non.em.05,50,-0.977273241
1,F,19,2.2,2.48,1.81,0.67,2a,3,SUB.non.em,sub,non,embedded,SUB.non.em.09,500,1.71521426
1,F,19,2.2,2.48,1.81,0.67,2a,47,SUB.non.em,sub,non,embedded,SUB.non.em.13,305,0.548469676
1,F,19,2.2,2.48,1.81,0.67,2a,72,SUB.non.ma,sub,non,matrix,SUB.non.ma.02,115,-0.58835838
1,F,19,2.2,2.48,1.81,0.67,2a,89,SUB.non.ma,sub,non,matrix,SUB.non.ma.06,500,1.71521426
1,F,19,2.2,2.48,1.81,0.67,2a,21,SUB.non.ma,sub,non,matrix,SUB.non.ma.10,150,-0.378942685
1,F,19,2.2,2.48,1.81,0.67,2a,31,SUB.non.ma,sub,non,matrix,SUB.non.ma.14,300,0.518553148
1,F,19,2.2,2.48,1.81,0.67,2a,35,WH.isl.em,wh,island,embedded,WH.isl.em.03,45,-1.007189769
1,F,19,2.2,2.48,1.81,0.67,2a,67,WH.isl.em,wh,island,embedded,WH.isl.em.07,100,-0.678107963
1,F,19,2.2,2.48,1.81,0.67,2a,95,WH.isl.em,wh,island,embedded,WH.isl.em.11,100,-0.678107963
1,F,19,2.2,2.48,1.81,0.67,2a,5,WH.isl.em,wh,island,embedded,WH.isl.em.15,100,-0.678107963
1,F,19,2.2,2.48,1.81,0.67,2a,43,WH.isl.ma,wh,island,matrix,WH.isl.ma.04,200,-0.079777407
1,F,19,2.2,2.48,1.81,0.67,2a,56,WH.isl.ma,wh,island,matrix,WH.isl.ma.08,130,-0.498608796
1,F,19,2.2,2.48,1.81,0.67,2a,83,WH.isl.ma,wh,island,matrix,WH.isl.ma.12,100,-0.678107963
1,F,19,2.2,2.48,1.81,0.67,2a,2,WH.isl.ma,wh,island,matrix,WH.isl.ma.16,500,1.71521426
1,F,19,2.2,2.48,1.81,0.67,2a,10,WH.non.em,wh,non,embedded,WH.non.em.01,500,1.71521426
1,F,19,2.2,2.48,1.81,0.67,2a,37,WH.non.em,wh,non,embedded,WH.non.em.05,175,-0.229360046
1,F,19,2.2,2.48,1.81,0.67,2a,59,WH.non.em,wh,non,embedded,WH.non.em.09,100,-0.678107963
1,F,19,2.2,2.48,1.81,0.67,2a,93,WH.non.em,wh,non,embedded,WH.non.em.13,100,-0.678107963
1,F,19,2.2,2.48,1.81,0.67,2a,12,WH.non.ma,wh,non,matrix,WH.non.ma.02,500,1.71521426
1,F,19,2.2,2.48,1.81,0.67,2a,46,WH.non.ma,wh,non,matrix,WH.non.ma.06,150,-0.378942685
1,F,19,2.2,2.48,1.81,0.67,2a,49,WH.non.ma,wh,non,matrix,WH.non.ma.10,129,-0.504592102
1,F,19,2.2,2.48,1.81,0.67,2a,88,WH.non.ma,wh,non,matrix,WH.non.ma.14,215,0.009972176
2,F,22,2.7,1.04,1.04,0.78,4b,49,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.01,125,0.463873672
2,F,22,2.7,1.04,1.04,0.78,4b,80,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.05,65,-1.008254345
2,F,22,2.7,1.04,1.04,0.78,4b,14,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.09,80,-0.640222341
2,F,22,2.7,1.04,1.04,0.78,4b,34,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.13,115,0.218519003
2,F,22,2.7,1.04,1.04,0.78,4b,51,ADJ.isl.ma,adj,island,matrix,ADJ.isl.ma.02,110,0.095841668
2,F,22,2.7,1.04,1.04,0.78,4b,90,ADJ.isl.ma,adj,island,matrix,ADJ.isl.ma.06,140,0.831905676
2,F,22,2.7,1.04,1.04,0.78,4b,22,ADJ.isl.ma,adj,island,matrix,ADJ.isl.ma.10,60,-1.13093168
2,F,22,2.7,1.04,1.04,0.78,4b,40,ADJ.isl.ma,adj,island,matrix,ADJ.isl.ma.14,40,-1.621641019
2,F,22,2.7,1.04,1.04,0.78,4b,59,ADJ.non.em,adj,non,embedded,ADJ.non.em.03,80,-0.640222341
2,F,22,2.7,1.04,1.04,0.78,4b,76,ADJ.non.em,adj,non,embedded,ADJ.non.em.07,95,-0.272190336
2,F,22,2.7,1.04,1.04,0.78,4b,7,ADJ.non.em,adj,non,embedded,ADJ.non.em.11,95,-0.272190336
2,F,22,2.7,1.04,1.04,0.78,4b,32,ADJ.non.em,adj,non,embedded,ADJ.non.em.15,80,-0.640222341
2,F,22,2.7,1.04,1.04,0.78,4b,72,ADJ.non.ma,adj,non,matrix,ADJ.non.ma.04,110,0.095841668
2,F,22,2.7,1.04,1.04,0.78,4b,78,ADJ.non.ma,adj,non,matrix,ADJ.non.ma.08,50,-1.376286349
