bad,good,list
32.1.martin.66b.*.01,32.1.martin.66a.g.01,3
32.1.martin.20a.*.01,32.1.martin.20a.g.01,3
32.2.nunes.48b.*.01,32.2.nunes.48b.g.01,3
32.2.stroik.13b.*.01,32.2.stroik.13a.g.01,3
32.3.Culicover.25d.*.01,32.3.Culicover.25d.g.01,3
32.3.Culicover.41b.*.01,32.3.Culicover.41b.g.01,3
33.1.denDikken.71a.*.01,33.1.denDikken.67.g.01,3
33.1.fox.69a.*.01,33.1.fox.69b.g.01,3
33.2.bowers.31b.*.01,33.2.bowers.31a.g.01,3
33.4.neeleman.35a.*.01,33.4.neeleman.35a.g.01,3
34.1.phillips.59b.*.01,34.1.phillips.59b.g.01,3
34.3.landau.39b.*.01,34.3.landau.39a.g.01,3
34.1.fox.14.*.01,34.1.fox.14.g.01,3
34.1.fox.28.*.01,34.1.fox.27.g.01,3
34.4.lasnik.10a.*.01,34.4.lasnik.11a.g.01,3
34.4.boskovic.7a.??.01,34.4.boskovic.7c.g.01,3
35.1.bhatt.76b.*.01,35.1.bhatt.76b.g.01,3
35.3.hazout.75a.*.01,35.3.hazout.75a.g.01,3
35.3.embick.13b.*.01,35.3.embick.13b.g.01,3
35.2.hazout.6b.*.01,35.2.hazout.6a.g.01,3
40.1.heck.5b.*.01,40.1.heck.5b.g.01,3
41.2.Bruening.3b.*.01,41.2.Bruening.3a.g.01,3
34.3.landau.32c.*.01,34.3.landau.32c.g.01,3
37.3.becker.26b.*.01,37.3.becker.26a.g.01,3
32.2.boeckx.11.*.01,32.2.boeckx.11.g.01,3
32.1.martin.79.*.01,32.1.martin.77.g.01,3
37.2.deVries.39a.*.01,37.2.deVries.39b.g.01,3
38.2.hornstein.3c.*.01,38.2.hornstein.3c.g.01,3
38.3.hirose.1b.*.01,38.3.hirose.1a.g.01,3
38.4.Boskovic.4.*.01,38.4.Boskovic.17a.g.01,3
40.1.caponigro.25b.*.01,40.1.caponigro.25b.g.01,3
41.2.Bruening.31a.*.01,41.2.Bruening.31a.g.01,3
41.3.Landau.25c.*.01,41.3.Landau.24c.g.01,3
41.3.Costantini.2b.??.01,41.3.Costantini.2b.g.01,3
41.4.Bruening.9b.*.01,41.4.Bruening.9c.g.01,3
32.1.martin.26b.??.01,32.1.martin.25b.g.01,3
32.3.Culicover.22b7.*.01,32.3.Culicover.22b7.g.01,3
33.1.fox.49c.*.01,33.1.fox.49b.g.01,3
33.4.neeleman.24d.*.01,33.4.neeleman.24d.g.01,3
34.3.heycock.66.*.01,34.3.heycock.66.g.01,3
35.1.beck.12b.*.01,35.1.beck.12b.g.01,3
38.3.landau.31b.*.01,38.3.landau.31a.g.01,3
32.1.martin.39a.*.01,32.1.martin.23a.g.01,3
32.3.fanselow.58d.*.01,32.3.fanselow.58c.g.01,3
34.1.phillips.93b.?*.01,34.1.phillips.92b.g.01,3
34.3.heycock.30c.?*.01,34.3.heycock.30c.g.01,3
34.3.takano.10b.*.01,34.3.takano.10b.g.01,3
35.3.sobin.3c.*.01,35.3.sobin.3c.g.01,3
41.1.Muller.25b.??(*).01,41.1.Muller.25b.g.01,3
38.4.kallulli.9b.*.01,38.4.kallulli.9a.g.01,3
