"sentence_id","condition","all_exposures","first_three_exposures","mean_surprisal","weight_first","weight_last","weight_sum","normalized","wh","matrix","comp","embedded","gap","matrix_norm","comp_norm","embedded_norm","gap_norm"
0,"CNPC",0.462058823529412,0.48375,8.07229878505071,7.07493792401477,12.5679753335418,9.82145662877827,0.634000604608724,8.22735691070557,8.11042018731435,5.01667547225952,8.74025797843933,15.1019153594971,0.559277313246946,0.405809046012308,0.711633321643589,1.48475166106851
5,"SUBJ",0.474623655913978,0.432307692307692,8.074327592055,7.01318748281042,7.33539092635877,7.1742892045846,0.569404735987944,8.22735691070557,5.80276346206665,6.86347341537476,9.20144774516424,14.4159059524536,0.347681130639808,0.5552002744498,0.621682799952642,1.07320645370526
7,"WH",0.620769230769231,0.652,9.45497314929962,7.24573180137849,11.8615983910049,9.55366509619169,0.63237518545313,8.22735691070557,9.47490102052689,6.88519859313965,10.3843929767609,11.1144418716431,0.539040216950322,0.42162955837268,0.686490096280244,1.09272139579261
9,"CNPC",0.467647058823529,0.443125,7.92237617419316,7.12118587149961,9.98734897001458,8.55426742075709,0.579034456118436,8.22735691070557,7.77449317773183,4.36899709701538,8.74951543807983,11.1060962677002,0.533737818603778,0.353417029619379,0.594320589012254,1.09190089395415
14,"SUBJ",0.466344086021505,0.445555555555556,7.06578670931049,6.96998344846001,6.35317468915874,6.66157906880937,0.538092792855271,8.22735691070557,5.71817812919617,7.07849073410034,7.68398322868678,14.3187570571899,0.374253809140433,0.572593461127043,0.573957903957642,1.06597410759318
16,"WH",0.632051282051282,0.564545454545455,8.80332503318787,7.19439954368652,9.54203175541504,8.36821564955078,0.614766216923775,8.22735691070557,9.50269132852554,7.48672914505005,8.57709974050522,9.51598072052002,0.573179180006853,0.458465541753372,0.599119716055154,0.935567962417622
18,"CNPC",0.484019607843137,0.456923076923077,7.80285890285785,7.65681436065765,9.10497881054529,8.38089658560147,0.580362004236715,8.22735691070557,8.38683390617371,3.96491241455078,7.7847785949707,10.4538040161133,0.57548565243693,0.320729800715316,0.554212259300809,1.02777048526153
23,"SUBJ",0.478817204301075,0.326153846153846,8.08850067574531,7.27500703982331,8.30537710784929,7.7901920738363,0.542130140836171,8.22735691070557,8.228690572083,7.2081561088562,8.10657355040312,14.6603870391846,0.457861003576035,0.583082356077787,0.525955483976045,1.09140709131721
25,"WH",0.530384615384615,0.481818181818182,8.4150707523028,7.9979194245488,8.36155521475421,8.1797373196515,0.59156216840867,8.22735691070557,12.2368801832199,8.89554691314697,5.81840407848358,9.45707988739014,0.730602968854679,0.544737448853066,0.438599275565985,0.929777100282183
27,"CNPC",0.492647058823529,0.365333333333333,6.80247931182384,7.07094849046583,11.2449532551344,9.1579508728001,0.51521236008327,8.22735691070557,7.68522981802623,2.6928174495697,6.47601446509361,15.5415439605713,0.494752396040852,0.217827460902707,0.507131860118519,1.52797394646476
