"sentence_id","mean_surprisal","weight_first","weight_last","weight_sum"
2,8.528155779838562,1.1302323537419166,1.8778760111226518,3.008108364864568
3,7.8684736887613935,0.7535216495310725,0.6539392454833222,1.4074608950143945
4,7.778396239647498,0.8694455827836426,0.5184044710851885,1.387850053868831
5,8.177274088064829,0.9418978494626278,0.8488732190666984,1.7907710685293257
6,8.528155779838562,1.1302323537419166,1.8778760111226518,3.008108364864568
7,7.8684736887613935,0.7535216495310725,0.6539392454833222,1.4074608950143945
8,7.778396239647498,0.8694455827836426,0.5184044710851885,1.387850053868831
9,8.177274088064829,0.9418978494626278,0.8488732190666984,1.7907710685293257
10,8.528155779838562,1.1302323537419166,1.8778760111226518,3.008108364864568
11,8.177274088064829,0.9418978494626278,0.8488732190666984,1.7907710685293257
12,7.8684736887613935,0.7535216495310725,0.6539392454833222,1.4074608950143945
13,7.778396239647498,0.8694455827836426,0.5184044710851885,1.387850053868831
14,8.500810428099198,1.0275179144404583,1.3759706078469227,2.403488522287381
15,7.8684736887613935,0.7535216495310725,0.6539392454833222,1.4074608950143945
16,8.128017698015485,0.8073443729686004,1.0823093692432906,1.889653742211891
17,7.778396239647498,0.8694455827836426,0.5184044710851885,1.387850053868831
18,8.500810428099198,1.0275179144404583,1.3759706078469227,2.403488522287381
19,7.830160826444626,0.7064266851519095,0.679001872157519,1.385428557309428
20,8.128017698015485,0.8073443729686004,1.0823093692432906,1.889653742211891
21,8.177274088064829,0.9418978494626278,0.8488732190666984,1.7907710685293257
22,8.528155779838562,1.1302323537419166,1.8778760111226518,3.008108364864568
23,8.128017698015485,0.8073443729686004,1.0823093692432906,1.889653742211891
24,8.128017698015485,0.8073443729686004,1.0823093692432906,1.889653742211891
25,7.778396239647498,0.8694455827836426,0.5184044710851885,1.387850053868831
26,8.500810428099198,1.0275179144404583,1.3759706078469227,2.403488522287381
27,7.830160826444626,0.7064266851519095,0.679001872157519,1.385428557309428
28,7.8684736887613935,0.7535216495310725,0.6539392454833222,1.4074608950143945
29,7.778396239647498,0.8694455827836426,0.5184044710851885,1.387850053868831
30,8.528155779838562,1.1302323537419166,1.8778760111226518,3.008108364864568
31,7.830160826444626,0.7064266851519095,0.679001872157519,1.385428557309428
32,8.128017698015485,0.8073443729686004,1.0823093692432906,1.889653742211891
33,7.8684736887613935,0.7535216495310725,0.6539392454833222,1.4074608950143945
34,8.177274088064829,0.9418978494626278,0.8488732190666984,1.7907710685293257
35,7.778396239647498,0.8694455827836426,0.5184044710851885,1.387850053868831
36,7.702192138223087,0.6648722116930843,0.5677262585421886,1.2325984702352724
37,7.830160826444626,0.7064266851519095,0.679001872157519,1.385428557309428
38,8.128017698015485,0.8073443729686004,1.0823093692432906,1.889653742211891
39,7.8684736887613935,0.7535216495310725,0.6539392454833222,1.4074608950143945
40,7.702192138223087,0.6648722116930843,0.5677262585421886,1.2325984702352724
41,8.177274088064829,0.9418978494626278,0.8488732190666984,1.7907710685293257
42,8.528155779838562,1.1302323537419166,1.8778760111226518,3.008108364864568
43,7.8684736887613935,0.7535216495310725,0.6539392454833222,1.4074608950143945
44,7.778396239647498,0.8694455827836426,0.5184044710851885,1.387850053868831
45,7.702192138223087,0.6648722116930843,0.5677262585421886,1.2325984702352724
46,7.8684736887613935,0.7535216495310725,0.6539392454833222,1.4074608950143945
47,7.830160826444626,0.7064266851519095,0.679001872157519,1.385428557309428
48,7.9260544121265415,0.5651414103980114,0.8247193363439062,1.3898607467419173
49,8.177274088064829,0.9418978494626278,0.8488732190666984,1.7907710685293257
50,8.528155779838562,1.1302323537419166,1.8778760111226518,3.008108364864568
51,7.778396239647498,0.8694455827836426,0.5184044710851885,1.387850053868831
52,8.128017698015485,0.8073443729686004,1.0823093692432906,1.889653742211891
53,8.128017698015485,0.8073443729686004,1.0823093692432906,1.889653742211891
54,8.177274088064829,0.9418978494626278,0.8488732190666984,1.7907710685293257
55,7.957870960235596,0.6279348948987434,0.8808301584929312,1.5087650533916745
56,7.830160826444626,0.7064266851519095,0.679001872157519,1.385428557309428
57,8.128017698015485,0.8073443729686004,1.0823093692432906,1.889653742211891
58,8.177274088064829,0.9418978494626278,0.8488732190666984,1.7907710685293257
59,7.702192138223087,0.6648722116930843,0.5677262585421886,1.2325984702352724
60,7.830160826444626,0.7064266851519095,0.679001872157519,1.385428557309428
61,8.128017698015485,0.8073443729686004,1.0823093692432906,1.889653742211891
62,8.177274088064829,0.9418978494626278,0.8488732190666984,1.7907710685293257
63,7.702192138223087,0.6648722116930843,0.5677262585421886,1.2325984702352724
64,7.702192138223087,0.6648722116930843,0.5677262585421886,1.2325984702352724
65,8.177274088064829,0.9418978494626278,0.8488732190666984,1.7907710685293257
66,8.528155779838562,1.1302323537419166,1.8778760111226518,3.008108364864568
67,7.8684736887613935,0.7535216495310725,0.6539392454833222,1.4074608950143945
68,7.8684736887613935,0.7535216495310725,0.6539392454833222,1.4074608950143945
69,7.8684736887613935,0.7535216495310725,0.6539392454833222,1.4074608950143945
70,7.778396239647498,0.8694455827836426,0.5184044710851885,1.387850053868831
71,7.778396239647498,0.8694455827836426,0.5184044710851885,1.387850053868831
72,8.128017698015485,0.8073443729686004,1.0823093692432906,1.889653742211891
73,7.616532306922109,0.5948856910843453,0.38448126651575487,0.9793669576001002
74,7.8684736887613935,0.7535216495310725,0.6539392454833222,1.4074608950143945
75,8.128017698015485,0.8073443729686004,1.0823093692432906,1.889653742211891
76,7.830160826444626,0.7064266851519095,0.679001872157519,1.385428557309428
