"sentence_id","condition","all_exposures","first_three_exposures","mean_surprisal","weight_first","weight_last","weight_sum","normalized","wh","matrix","comp","embedded","gap"
2,"WH",0.525644171779141,0.474358974358974,8.52815577983856,7.1447554419298,11.8709792772413,9.50786735958557,0.636923522732201,8.22735691070557,3.49506304264069,7.78900480270386,3.43145656585693,13.4098119735718
3,"SUBJ",0.441975683890578,0.363690476190476,7.65132730007172,7.02728604731297,7.89846169195861,7.46287386963579,0.611721013822127,8.22735691070557,1.63454604148865,7.25546789169312,4.98459293842316,13.8069744110107
4,"POLAR",0.941880341880342,0.937687861271676,7.18485305859492,9.78428745810715,8.89194040681317,9.33811393246016,0.531193971360581,0,0,0,0,0
6,"WH",0.479454022988506,0.431153846153846,8.7672830581665,7.14215731117203,11.7829760682021,9.46256668968705,0.586688397881886,8.22735691070557,3.46804306507111,7.7363543510437,3.70286886692047,10.9910850524902
7,"SUBJ",0.415727848101266,0.344425287356322,8.074327592055,7.01318748281042,7.33539092635877,7.1742892045846,0.569404735987944,8.22735691070557,1.54740358988444,6.86347341537476,5.52086864709854,14.4159059524536
8,"POLAR",0.935068493150685,0.924888888888889,6.70797724448718,9.72859814220493,8.16866945785771,8.94863380003132,0.45340400023544,0,0,0,0,0
10,"WH",0.536604361370717,0.467546012269939,9.45497314929962,7.24573180137849,11.8615983910049,9.55366509619169,0.63237518545313,8.22735691070557,3.78996040821075,6.88519859313965,4.15375719070435,11.1144418716431
11,"SUBJ",0.513146417445483,0.445090909090909,8.72307184835275,7.12813405671658,10.8849637565262,9.00654890662138,0.653659220602193,8.22735691070557,2.27511211236318,6.72614765167236,5.20183435579141,16.3381233215332
12,"POLAR",0.936342857142857,0.928152173913043,7.21239694754283,10.0319765720649,7.95179999418808,8.99188828312649,0.482855435953533,0,0,0,0,0
14,"WH",0.505701492537313,0.428860759493671,8.50403089956804,7.18834846243922,9.3732535436469,8.28080100304306,0.586149277120904,8.22735691070557,3.25805388797413,7.89731979370117,3.78009731119329,9.7896614074707
15,"SUBJ",0.279466292134831,0.2405,6.8766304731369,7.08450123195397,8.73160563887635,7.90805343541516,0.531909450962434,8.22735691070557,1.79035023053487,8.05006790161133,4.00111858844757,13.0146408081055
16,"POLAR",0.898633879781421,0.892903225806452,7.23587431226458,9.91743306136121,9.11203435770317,9.51473370953219,0.491834106893055,0,0,0,0,0
18,"WH",0.476134969325153,0.45625730994152,8.15188260511919,7.01756742415449,10.0206768846834,8.51912215441897,0.588278970891303,8.22735691070557,3.62187097289345,7.88402843475342,3.065340237184,10.57421875
19,"SUBJ",0.429265536723164,0.383068181818182,7.06578670931049,6.96998344846001,6.35317468915874,6.66157906880937,0.538092792855271,8.22735691070557,1.7869306653738,7.07849073410034,4.32224056613632,14.3187570571899
20,"POLAR",0.931,0.916818181818182,6.81727198671017,9.51390232275063,7.99261812215969,8.75326022245516,0.486716343952024,0,0,0,0,0
22,"WH",0.522679738562091,0.481158536585366,8.80332503318787,7.19439954368652,9.54203175541504,8.36821564955078,0.614766216923775,8.22735691070557,3.80107653141022,7.48672914505005,3.43083989620209,9.51598072052002
24,"POLAR",0.930903790087464,0.913081081081081,6.76546471459525,9.8425517282624,7.49661381383686,8.66958277104963,0.472652822532354,0,0,0,0,0
26,"WH",0.517729885057471,0.472321428571429,8.70208126848394,7.72789747229141,9.63836829297636,8.68313288263389,0.617447252372154,8.22735691070557,3.29226342114535,10.1483507156372,3.73929897221652,11.0326776504517
27,"SUBJ",0.334603658536585,0.26,6.63406962156296,7.605519927421,7.97325087349678,7.78938540045889,0.518304543333224,8.22735691070557,1.66779604554176,7.60464763641357,3.97677329182625,16.3679847717285
28,"POLAR",0.919673913043478,0.908780487804878,6.75933225552241,9.82452603729958,8.25784838660804,9.04118721195381,0.486111300411082,0,0,0,0,0
30,"WH",0.473863636363636,0.404513888888889,11.8423056125641,8.04323340338295,11.4746600932437,9.75894674831331,0.663840812732482,8.22735691070557,6.27064425945282,9.52850246429443,3.79607541561127,11.0400466918945
31,"SUBJ",0.414023668639053,0.353465909090909,8.08850067574531,7.27500703982331,8.30537710784929,7.7901920738363,0.542130140836171,8.22735691070557,2.05717264302075,7.2081561088562,5.06660846900195,14.6603870391846
32,"POLAR",0.919831460674157,0.927673267326733,8.50528794513749,10.4361991363042,9.33269985768606,9.88444949699513,0.533712373941308,0,0,0,0,0
34,"WH",0.572877492877493,0.521857923497268,7.83603578805923,7.75082015540061,8.56478868366927,8.15780441953494,0.567437393356039,8.22735691070557,3.15680587291718,10.7574548721313,3.09716226657232,9.93932056427002
35,"SUBJ",0.454184615384615,0.404430379746835,7.859244456658,7.62667303027762,8.21123676380868,7.91895489704315,0.596380773536716,8.22735691070557,2.14724654417772,7.7329273223877,4.48428374070388,15.1577634811401
36,"POLAR",0.904438502673797,0.891428571428571,5.81615330892451,9.83389329404818,5.7548775718366,7.79438543294239,0.431236890727124,0,0,0,0,0
38,"WH",0.485109034267913,0.453620689655172,7.20831642832075,7.15904678115598,10.1931005465576,8.67607366385681,0.530323297738998,8.22735691070557,2.52464466435569,8.6235523223877,3.48003539017269,13.6680784225464
40,"POLAR",0.936450704225352,0.941761658031088,6.01010990142822,9.71659082954143,7.53275312233675,8.62467197593909,0.428365096500384,0,0,0,0,0
42,"WH",0.505780346820809,0.453757225433526,10.0697458744049,7.26610683245261,11.8474583898274,9.55678261114002,0.639975000185462,8.22735691070557,4.00959179401398,8.18814277648926,4.41860411167145,10.1759204864502
