"sentence_id","condition","all_exposures","first_three_exposures","mean_surprisal","weight_first","weight_last","weight_sum","normalized","wh","matrix","comp","embedded","gap","matrix_norm","comp_norm","embedded_norm","gap_norm"
2,"WH",0.525644171779141,0.474358974358974,4.44336794018745,6.92224965326986,5.87923684054761,6.40074324690874,0.580968342702743,8.63091468811035,4.84202909469604,"6.277164936065674",2.53937084972858,8.98076152801514,0.48605094304239,"0.4683257916679957",0.663133103200597,2.40840470617384
3,"SUBJ",0.441975683890578,0.363690476190476,2.87707598954439,6.25541246306095,0.970261738099905,3.61283710058043,0.409784055219919,7.82696723937988,2.34043310582638,"4.989863872528076",2.33084181199471,14.9841270446777,0.332976592263509,"0.6764469323068947",0.384793960519716,2.40893123320645
4,"POLAR",0.941880341880342,0.937687861271676,1.56746000595964,7.21084498011157,1.21171012823958,4.21127755417557,0.208165199900208,0,0,"0",0,0,0,"0",0,0
6,"WH",0.479454022988506,0.431153846153846,4.48095035552979,6.9847757737658,4.82011212327482,5.90244394852031,0.553717489968235,8.60517978668213,5.29925715923309,"6.3079447746276855",2.17483758926392,7.23212146759033,0.528748449178687,"0.4706222093037894",0.552289422487501,1.939465303007
7,"SUBJ",0.415727848101266,0.344425287356322,3.48464740527173,6.61051737610532,1.29492500892185,3.95272119251358,0.464965106761262,8.25773143768311,2.53784166276455,"5.532044410705566",3.1476187310699,16.9166889190674,0.353773453122917,"0.7499472062975056",0.455223339323001,2.71962058103701
8,"POLAR",0.935068493150685,0.924888888888889,1.82830373283762,7.5812049565927,1.71142956467604,4.64631726063437,0.246807714339526,0,0,"0",0,0,0,"0",0,0
10,"WH",0.536604361370717,0.467546012269939,4.35309944748878,6.54380421447733,4.19974267258319,5.37177344353026,0.492210115966171,7.61664867401123,5.69710856676102,"5.788506984710693",1.83435113728046,6.35513067245483,0.487367627339445,"0.43186807162175156",0.47091141739041,1.70427937231652
11,"SUBJ",0.513146417445483,0.445090909090909,4.7687374275265,6.62989010800404,7.19787436703509,6.91388223751956,0.739413374172408,8.16728019714355,2.76261208951473,"5.140343189239502",5.47779623097934,20.4294052124023,0.311121051831345,"0.6968465413474335",1.03783463019427,3.28434430282455
12,"POLAR",0.936342857142857,0.928152173913043,1.78416080909471,7.96534649493244,1.52911801415455,4.7472322545435,0.208619251903945,0,0,"0",0,0,0,"0",0,0
14,"WH",0.505701492537313,0.428860759493671,3.6732562773607,6.59547975763692,3.86821196300791,5.23184586032241,0.456528822162807,8.05042839050293,4.78183501958847,"5.767837047576904",1.4920427069068,5.98291397094727,0.49576372820901,"0.4303259320140616",0.382779096653924,1.60446061498387
