"sentence_id","condition","all_exposures","first_three_exposures","mean_surprisal","weight_first","weight_last","weight_sum"
2,"WH",0.525644171779141,0.474358974358974,8.52815577983856,1.13023235374192,1.87787601112265,3.00810836486457
3,"SUBJ",0.441975683890578,0.363690476190476,7.86847368876139,0.753521649531072,0.653939245483322,1.40746089501439
4,"POLAR",0.941880341880342,0.937687861271676,7.7783962396475,0.869445582783643,0.518404471085189,1.38785005386883
6,"WH",0.479454022988506,0.431153846153846,8.52815577983856,1.13023235374192,1.87787601112265,3.00810836486457
7,"SUBJ",0.415727848101266,0.344425287356322,7.86847368876139,0.753521649531072,0.653939245483322,1.40746089501439
8,"POLAR",0.935068493150685,0.924888888888889,7.7783962396475,0.869445582783643,0.518404471085189,1.38785005386883
10,"WH",0.536604361370717,0.467546012269939,8.52815577983856,1.13023235374192,1.87787601112265,3.00810836486457
11,"SUBJ",0.513146417445483,0.445090909090909,8.17727408806483,0.941897849462628,0.848873219066698,1.79077106852933
12,"POLAR",0.936342857142857,0.928152173913043,7.86847368876139,0.753521649531072,0.653939245483322,1.40746089501439
14,"WH",0.505701492537313,0.428860759493671,8.5008104280992,1.02751791444046,1.37597060784692,2.40348852228738
15,"SUBJ",0.279466292134831,0.2405,7.86847368876139,0.753521649531072,0.653939245483322,1.40746089501439
16,"POLAR",0.898633879781421,0.892903225806452,8.12801769801549,0.8073443729686,1.08230936924329,1.88965374221189
18,"WH",0.476134969325153,0.45625730994152,8.5008104280992,1.02751791444046,1.37597060784692,2.40348852228738
19,"SUBJ",0.429265536723164,0.383068181818182,7.83016082644463,0.70642668515191,0.679001872157519,1.38542855730943
20,"POLAR",0.931,0.916818181818182,8.12801769801549,0.8073443729686,1.08230936924329,1.88965374221189
22,"WH",0.522679738562091,0.481158536585366,8.52815577983856,1.13023235374192,1.87787601112265,3.00810836486457
23,"SUBJ",0.314985074626866,0.268284023668639,8.12801769801549,0.8073443729686,1.08230936924329,1.88965374221189
24,"POLAR",0.930903790087464,0.913081081081081,8.12801769801549,0.8073443729686,1.08230936924329,1.88965374221189
26,"WH",0.517729885057471,0.472321428571429,8.5008104280992,1.02751791444046,1.37597060784692,2.40348852228738
27,"SUBJ",0.334603658536585,0.26,7.83016082644463,0.70642668515191,0.679001872157519,1.38542855730943
28,"POLAR",0.919673913043478,0.908780487804878,7.86847368876139,0.753521649531072,0.653939245483322,1.40746089501439
30,"WH",0.473863636363636,0.404513888888889,8.52815577983856,1.13023235374192,1.87787601112265,3.00810836486457
31,"SUBJ",0.414023668639053,0.353465909090909,7.83016082644463,0.70642668515191,0.679001872157519,1.38542855730943
32,"POLAR",0.919831460674157,0.927673267326733,8.12801769801549,0.8073443729686,1.08230936924329,1.88965374221189
34,"WH",0.572877492877493,0.521857923497268,8.17727408806483,0.941897849462628,0.848873219066698,1.79077106852933
35,"SUBJ",0.454184615384615,0.404430379746835,7.7783962396475,0.869445582783643,0.518404471085189,1.38785005386883
36,"POLAR",0.904438502673797,0.891428571428571,7.70219213822309,0.664872211693084,0.567726258542189,1.23259847023527
38,"WH",0.485109034267913,0.453620689655172,8.12801769801549,0.8073443729686,1.08230936924329,1.88965374221189
39,"SUBJ",0.499135446685879,0.441129032258064,7.86847368876139,0.753521649531072,0.653939245483322,1.40746089501439
40,"POLAR",0.936450704225352,0.941761658031088,7.70219213822309,0.664872211693084,0.567726258542189,1.23259847023527
42,"WH",0.505780346820809,0.453757225433526,8.52815577983856,1.13023235374192,1.87787601112265,3.00810836486457
43,"SUBJ",0.418625,0.343928571428571,7.86847368876139,0.753521649531072,0.653939245483322,1.40746089501439
44,"POLAR",0.934942857142857,0.938834355828221,7.7783962396475,0.869445582783643,0.518404471085189,1.38785005386883
46,"WH",0.509432835820895,0.445,7.86847368876139,0.753521649531072,0.653939245483322,1.40746089501439
47,"SUBJ",0.488932926829268,0.433396226415094,7.83016082644463,0.70642668515191,0.679001872157519,1.38542855730943
48,"POLAR",0.880642458100559,0.869415204678363,7.92605441212654,0.565141410398011,0.824719336343906,1.38986074674192
50,"WH",0.499427710843374,0.458051948051948,8.52815577983856,1.13023235374192,1.87787601112265,3.00810836486457
51,"SUBJ",0.345920245398773,0.322242424242424,7.7783962396475,0.869445582783643,0.518404471085189,1.38785005386883
52,"POLAR",0.898977272727273,0.884702380952381,8.12801769801549,0.8073443729686,1.08230936924329,1.88965374221189
54,"WH",0.529538461538462,0.441840490797546,8.17727408806483,0.941897849462628,0.848873219066698,1.79077106852933
55,"SUBJ",0.401572700296736,0.324331210191083,7.9578709602356,0.627934894898743,0.880830158492931,1.50876505339167
56,"POLAR",0.937073863636364,0.93078313253012,7.83016082644463,0.70642668515191,0.679001872157519,1.38542855730943
58,"WH",0.530730994152047,0.480654761904762,8.17727408806483,0.941897849462628,0.848873219066698,1.79077106852933
59,"SUBJ",0.371258503401361,0.295142857142857,7.70219213822309,0.664872211693084,0.567726258542189,1.23259847023527
60,"POLAR",0.91597667638484,0.913941176470588,7.83016082644463,0.70642668515191,0.679001872157519,1.38542855730943
62,"WH",0.572684365781711,0.57275641025641,8.17727408806483,0.941897849462628,0.848873219066698,1.79077106852933
63,"SUBJ",0.322212121212121,0.293924050632911,7.70219213822309,0.664872211693084,0.567726258542189,1.23259847023527
64,"POLAR",0.897717391304348,0.892197802197802,7.70219213822309,0.664872211693084,0.567726258542189,1.23259847023527
66,"WH",0.525416666666667,0.469012345679012,8.52815577983856,1.13023235374192,1.87787601112265,3.00810836486457
