"sentence_id","mean_surprisal","weight_first","weight_last","weight_sum","normalized","wh","matrix","comp","embedded","gap","matrix_norm","comp_norm","embedded_norm","gap_norm"
2,8.528155779838562,7.144755441929798,11.870979277241334,9.507867359585566,1.0171062507378579,8.227356910705566,8.737657606601715,7.789004802703857,8.578641414642334,13.409811973571777,0.7507715814900294,0.5811209164783272,1.4692625652064375,3.5961598763434184
3,7.651327300071716,7.027286047312966,7.898461691958613,7.46287386963579,0.970717495180857,8.227356910705566,6.129547655582428,7.255467891693115,8.307654897371927,13.806974411010742,0.5977760999136801,0.9835817415396567,1.164030142489344,2.219685657736046
4,7.184853058594924,9.784287458107155,8.891940406813166,9.33811393246016,0.8425115743067574,0,0,0,0,0,0,0,0,0
5,7.955761909484863,7.052597935834642,11.809920126386968,9.431259031110802,0.9707714375902098,0,0,0,0,0,0,0,0,0
6,8.767283058166504,7.142157311172028,11.782976068202085,9.462566689687055,0.941121761646257,8.227356910705566,8.670107662677765,7.736354351043701,9.257172167301178,10.991085052490234,0.7690760563440047,0.5771927793803597,1.2619789018979521,2.947520751308147
7,8.074327592055003,7.013187482810423,7.335390926358772,7.174289204584599,0.937968680604763,8.227356910705566,5.80276346206665,6.863473415374756,9.201447745164236,14.415905952453613,0.5972266961096565,0.9304413217284727,1.115597455421107,2.317580864089579
8,6.707977244487176,9.728598142204934,8.168669457857707,8.948633800031319,0.7811404811767223,0,0,0,0,0,0,0,0,0
9,8.997162540753683,7.265253095742502,11.50135729792173,9.383305196832117,0.9988155138506859,0,0,0,0,0,0,0,0,0
10,9.454973149299622,7.2457318013784935,11.86159839100489,9.553665096191692,0.9338786748532713,8.227356910705566,9.474901020526886,6.885198593139648,10.384392976760864,11.114441871643066,0.7482362363205414,0.513689876682533,1.2805867306134076,2.9806018149640017
11,8.72307184835275,7.128134056716581,10.884963756526188,9.006548906621385,1.0235322470880253,8.227356910705566,6.825336337089539,6.726147651672363,10.403668711582819,16.338123321533203,0.5913908118201645,0.9118248636534109,1.3825323083346417,2.626607171967319
12,7.2123969475428265,10.031976572064902,7.951799994188075,8.991888283126489,0.747123636347086,0,0,0,0,0,0,0,0,0
13,7.922376174193162,7.121185871499608,9.987348970014581,8.554267420757094,0.9817345958953403,0,0,0,0,0,0,0,0,0
14,8.504030899568038,7.188348462439216,9.373253543646904,8.28080100304306,0.9081704643166396,8.227356910705566,8.959648191928864,7.897319793701172,8.316214084625244,9.789661407470703,0.7616445673990242,0.5892020652811693,1.128857953698277,2.625330439078236
15,6.876630473136902,7.084501231953967,8.731605638876346,7.908053435415157,0.9045113210089237,8.227356910705566,6.713813364505768,8.050067901611328,6.668530980745952,13.014640808105469,0.6326323289678061,1.0913010607137648,1.0262260482704983,2.092305720455318
16,7.235874312264579,9.917433061361209,9.11203435770317,9.51473370953219,0.7772984599693429,0,0,0,0,0,0,0,0,0
17,7.241335978874793,6.985151440792546,9.410260206462828,8.197705823627688,0.884076289212557,0,0,0,0,0,0,0,0,0
18,8.151882605119185,7.017567424154491,10.020676884683445,8.519122154418968,0.8935426024409542,8.227356910705566,7.9681161403656,7.884028434753418,8.429685652256012,10.57421875,0.6989791143212524,0.5882104255417406,1.2590144063970277,2.8357281420031475
19,7.065786709310487,6.96998344846001,6.35317468915874,6.661579068809374,0.8281941641563126,8.227356910705566,5.718178129196167,7.078490734100342,7.683983228686783,14.318757057189941,0.5660442138909967,0.9595899737479289,0.9723878421315226,2.3019626697580455
20,6.817271986710174,9.51390232275063,7.992618122159694,8.753260222455165,0.7360104782320706,0,0,0,0,0,0,0,0,0
21,7.568102737267812,7.094092306842034,9.39408462174138,8.244088464291707,0.9326631699598588,0,0,0,0,0,0,0,0,0
22,8.803325033187866,7.194399543686516,9.542031755415037,8.368215649550775,0.925433716411165,8.227356910705566,9.502691328525543,7.486729145050049,8.577099740505219,9.51598072052002,0.7880976547958167,0.5585687789903785,1.2083931904559049,2.5519364565763314
23,6.960288388388498,7.055739238147987,8.291300820325018,7.673520029236503,0.8730684449215046,0,0,0,0,0,0,0,0,0
24,6.765464714595249,9.842551728262404,7.496613813836861,8.669582771049633,0.7398004929348634,0,0,0,0,0,0,0,0,0
25,7.802858902857854,7.6568143606576475,9.104978810545292,8.380896585601471,0.9511777001942512,0,0,0,0,0,0,0,0,0
26,8.702081268483942,7.727897472291412,9.638368292976365,8.68313288263389,0.9533603766472066,8.227356910705566,9.05372440814972,10.148350715637207,8.226457738876343,11.03267765045166,0.8371716950878176,0.7571466468434279,1.1342651423620382,2.958674795245269
27,6.634069621562958,7.605519927420997,7.9732508734967835,7.789385400458892,0.812744687817708,8.227356910705566,6.671184182167053,7.604647636413574,6.362837266921997,16.367984771728516,0.6963037156818432,1.0309180162705722,0.8477977121970998,1.9031845114061248
28,6.75933225552241,9.824526037299579,8.257848386608035,9.04118721195381,0.7924622011239285,0,0,0,0,0,0,0,0,0
29,8.79717478614587,7.325595460523608,11.147813483099107,9.236704471811358,0.9443046969583198,0,0,0,0,0,0,0,0,0
30,9.821107771992683,7.403171163493758,11.761837747300406,9.58250445539708,0.9898596511612594,8.227356910705566,10.941737361252308,8.049403190612793,9.54184204339981,11.808978080749512,0.7663649841089554,0.6005486808287342,1.3806957225584133,3.1668582108611765
31,8.088500675745308,7.275007039823314,8.305377107849289,7.790192073836303,0.8195528290462568,8.227356910705566,8.228690572082996,7.208156108856201,8.106573550403118,14.66038703918457,0.6082973070956269,0.9771679572802905,0.8992683074962929,2.3568849973232626
