"sentence_id","mean_surprisal","weight_first","weight_last","weight_sum","normalized","wh","matrix","comp","embedded","gap"
0,8.07229878505071,7.074937924014769,12.567975333541769,9.821456628778268,0.6340006046087244,8.227356910705566,4.055210093657176,5.0166754722595215,2.913419326146444,15.10191535949707
1,8.528155779838562,7.144755441929798,11.870979277241334,9.507867359585566,0.6369235227322012,0,0,0,0,0
2,7.651327300071716,7.027286047312966,7.898461691958613,7.46287386963579,0.6117210138221265,0,0,0,0,0
3,7.955761909484863,7.052597935834642,11.809920126386968,9.431259031110802,0.5651328170358791,0,0,0,0,0
4,8.767283058166504,7.142157311172028,11.782976068202085,9.462566689687055,0.586688397881886,0,0,0,0,0
5,8.074327592055003,7.013187482810423,7.335390926358772,7.174289204584599,0.5694047359879442,8.227356910705566,1.54740358988444,6.863473415374756,5.520868647098541,14.415905952453613
6,8.997162540753683,7.265253095742502,11.50135729792173,9.383305196832117,0.6231009100266179,0,0,0,0,0
7,9.454973149299622,7.2457318013784935,11.86159839100489,9.553665096191692,0.6323751854531297,8.227356910705566,3.7899604082107543,6.885198593139648,4.153757190704345,11.114441871643066
8,8.72307184835275,7.128134056716581,10.884963756526188,9.006548906621385,0.6536592206021931,0,0,0,0,0
9,7.922376174193162,7.121185871499608,9.987348970014581,8.554267420757094,0.5790344561184362,8.227356910705566,3.588227620491615,4.368997097015381,3.365198245415321,11.106096267700195
10,8.504030899568038,7.188348462439216,9.373253543646904,8.28080100304306,0.586149277120904,0,0,0,0,0
11,6.876630473136902,7.084501231953967,8.731605638876346,7.908053435415157,0.5319094509624337,0,0,0,0,0
12,7.241335978874793,6.985151440792546,9.410260206462828,8.197705823627688,0.5479468409633194,0,0,0,0,0
13,8.151882605119185,7.017567424154491,10.020676884683445,8.519122154418968,0.5882789708913033,0,0,0,0,0
14,7.065786709310487,6.96998344846001,6.35317468915874,6.661579068809374,0.5380927928552708,8.227356910705566,1.7869306653738022,7.078490734100342,4.3222405661363155,14.318757057189941
15,7.568102737267812,7.094092306842034,9.39408462174138,8.244088464291707,0.5671138769865319,0,0,0,0,0
16,8.803325033187866,7.194399543686516,9.542031755415037,8.368215649550775,0.6147662169237749,8.227356910705566,3.8010765314102173,7.486729145050049,3.4308398962020874,9.51598072052002
17,6.960288388388498,7.055739238147987,8.291300820325018,7.673520029236503,0.5460974953457212,0,0,0,0,0
18,7.802858902857854,7.6568143606576475,9.104978810545292,8.380896585601471,0.5803620042367148,8.227356910705566,3.8708464182340183,3.9649124145507812,2.9941456134502706,10.453804016113281
19,8.702081268483942,7.727897472291412,9.638368292976365,8.68313288263389,0.6174472523721537,0,0,0,0,0
20,6.634069621562958,7.605519927420997,7.9732508734967835,7.789385400458892,0.5183045433332235,0,0,0,0,0
21,8.79717478614587,7.325595460523608,11.147813483099107,9.236704471811358,0.6182414393718078,0,0,0,0,0
22,11.842305612564086,8.043233403382947,11.47466009324368,9.758946748313313,0.663840812732482,0,0,0,0,0
23,8.088500675745308,7.275007039823314,8.305377107849289,7.790192073836303,0.5421301408361707,8.227356910705566,2.057172643020749,7.208156108856201,5.066608469001949,14.66038703918457
24,7.660782591501872,7.668365613419185,8.87151647651192,8.269941044965552,0.5622704497396014,0,0,0,0,0
25,8.415070752302805,7.997919424548798,8.361555214754212,8.179737319651505,0.59156216840867,8.227356910705566,4.078960061073303,8.895546913146973,2.9092020392417908,9.457079887390137
26,7.859244456657996,7.626673030277618,8.211236763808678,7.9189548970431485,0.596380773536716,0,0,0,0,0
27,6.802479311823845,7.070948490465826,11.24495325513437,9.157950872800097,0.5152123600832699,8.227356910705566,2.8819611817598343,2.692817449569702,3.2380072325468063,15.541543960571289
28,7.208316428320749,7.159046781155976,10.193100546557641,8.676073663856807,0.5303232977389979,0,0,0,0,0
29,6.787303328514099,7.052490093191284,8.789343933490764,7.920917013341024,0.5459480581944923,0,0,0,0,0
30,9.031582434972128,7.1716032509615415,11.355295883812978,9.263449567387259,0.6058128651993476,0,0,0,0,0
31,10.069745874404907,7.266106832452613,11.847458389827432,9.556782611140022,0.6399750001854616,0,0,0,0,0
32,8.929537455240885,7.14151116102356,9.275765016528899,8.208638088776231,0.6097592865671623,8.227356910705566,1.9724205176035563,7.366802215576172,5.917506329218546,14.084067344665527
33,6.933395483914544,7.5876994140151846,10.425763793320677,9.006731603667932,0.5065586175751118,0,0,0,0,0
34,7.6713100592295325,7.682748482628585,10.051666651712305,8.867207567170446,0.5345203788326602,8.227356910705566,2.3886481285095216,10.259506225585938,4.050204388300577,11.816751480102539
35,7.040367852896452,7.5634416763779555,9.415216886418289,8.489329281398124,0.5383476860038662,0,0,0,0,0
36,8.472377121448517,9.032257545697854,10.909784272447709,9.97102090907278,0.6253057587290912,10.729805946350098,3.821938971678416,4.445465564727783,3.385832190513611,12.23752498626709
37,9.66033046245575,9.127616032746337,11.514592509311466,10.321104271028902,0.6758830845470211,0,0,0,0,0
38,9.039095896940966,9.009455171382625,11.334027336210042,10.171741253796332,0.6628377602307233,0,0,0,0,0
39,7.880136353628976,7.122846958593074,11.087754177774537,9.105300568183807,0.5814320537990285,0,0,0,0,0
40,8.479436238606771,7.20055885181167,11.756128743788596,9.47834379780013,0.6032829226232138,0,0,0,0,0
41,7.395590159628126,7.098985045775043,8.289148756030524,7.694066900902785,0.5553108207752072,8.227356910705566,1.5060387584898207,7.232171058654785,5.0306887361738415,14.559456825256348
42,7.261421726218292,7.013852985884392,10.564072124901847,8.78896255539312,0.5465236272129792,0,0,0,0,0
