"sentence_id","condition","mean_acc","mean_surprisal","normalized_surprisal"
101,"no_alt",0.765,9.46142745018005,1.27057921624084
102,"no_alt",0.493333333333333,10.1120467619462,0.465575575735663
103,"no_alt",0.752727272727273,9.87977760488337,0.852229061537529
104,"no_alt",0.680833333333333,9.58047611063177,0.997146227050138
105,"alt",0.506222222222222,9.34107577800751,1.44888756117377
106,"alt",0.728510638297872,9.26586275100708,1.30993438936116
107,"gram",0.799555555555556,9.25295052528381,1.15302385347154
108,"gram",0.7812,8.70018237829208,2.23129992889993
201,"no_alt",0.719166666666667,10.1288441961462,0.67265190966295
202,"no_alt",0.430833333333333,10.7415954849937,-0.0944837079235286
203,"no_alt",0.736666666666667,10.3828799074346,0.418616198374498
204,"no_alt",0.805,10.2616134990345,0.385498278035611
205,"alt",0.551489361702128,9.96889793872833,1.04046662828689
206,"alt",0.8268,10.2272660732269,0.983954752937255
207,"gram",0.732,10.1833543300629,0.85804373448843
208,"gram",0.796888888888889,9.19529728094737,1.9555862540786
301,"no_alt",0.795454545454545,8.16112197529186,3.1608996986887
302,"no_alt",0.378181818181818,8.83447870341214,2.33315864182943
303,"no_alt",0.75,8.70852704481645,2.61349462916411
304,"no_alt",0.683333333333333,8.69985686648976,2.46778047875181
305,"alt",0.500357142857143,6.76110783815384,3.42164625849426
306,"alt",0.79725,8.86669640541077,2.26903709665707
307,"gram",0.827111111111111,8.8109475851059,2.15496315534905
308,"gram",0.8658,6.95452182109539,4.3669235756758
401,"no_alt",0.9,10.9749743179841,1.18052776650926
402,"no_alt",0.464,11.6860919757323,0.315025780022139
403,"no_alt",0.753,10.8189974481409,1.33650463635249
404,"no_alt",0.701666666666667,11.0309058319439,0.970211923810564
405,"alt",0.467857142857143,9.9904002348582,1.26850644997809
406,"alt",0.734905660377358,10.5969313979149,1.23900299079812
407,"gram",0.777173913043478,10.6180254817009,1.04808614539922
408,"gram",0.75843137254902,9.36477718750636,2.03564846534066
501,"no_alt",0.774,10.174570163091,1.39239849774294
502,"no_alt",0.23875,11.0850393507216,0.293237352764744
503,"no_alt",0.769090909090909,10.5993820296394,0.967586631194619
504,"no_alt",0.655,10.3830805884467,0.995196115039593
505,"alt",0.455925925925926,10.3341687679291,1.21899688994206
506,"alt",0.763137254901961,10.0442272126675,1.60438369536669
507,"gram",0.754130434782609,10.1965965032578,1.23973595276029
508,"gram",0.832083333333333,9.47964253425598,2.24334588522805
601,"no_alt",0.823333333333333,9.24329939755526,3.07826458526861
602,"no_alt",0.528,10.1588242704218,2.00835538366308
603,"no_alt",0.692727272727273,9.78856795484369,2.53299602798019
604,"no_alt",0.698,9.57773635604165,2.58944329804324
605,"alt",0.4948,9.89628428220749,2.96934938150125
606,"alt",0.777291666666667,9.60453560352326,2.22310756361288
