"sentence_id","condition","all_exposures","mean_surprisal"
2,"WH",0.525644171779141,8.52815577983856
3,"SUBJ",0.441975683890578,7.65132730007172
6,"WH",0.479454022988506,8.7672830581665
7,"SUBJ",0.415727848101266,8.074327592055
10,"WH",0.536604361370717,9.45497314929962
11,"SUBJ",0.513146417445483,8.72307184835275
14,"WH",0.505701492537313,8.50403089956804
15,"SUBJ",0.279466292134831,6.8766304731369
18,"WH",0.476134969325153,8.15188260511919
19,"SUBJ",0.429265536723164,7.06578670931049
22,"WH",0.522679738562091,8.80332503318787
26,"WH",0.517729885057471,8.70208126848394
27,"SUBJ",0.334603658536585,6.63406962156296
30,"WH",0.473863636363636,9.82110777199268
31,"SUBJ",0.414023668639053,8.08850067574531
34,"WH",0.572877492877493,7.83603578805923
35,"SUBJ",0.454184615384615,7.859244456658
38,"WH",0.485109034267913,7.20831642832075
42,"WH",0.505780346820809,10.0697458744049
43,"SUBJ",0.418625,8.92953745524088
46,"WH",0.509432835820895,7.67131005922953
47,"SUBJ",0.488932926829268,7.04036785289645
50,"WH",0.499427710843374,9.66033046245575
51,"SUBJ",0.345920245398773,9.03909589694097
54,"WH",0.529538461538462,8.47943623860677
55,"SUBJ",0.401572700296736,7.39559015962813
58,"WH",0.530730994152047,8.42084897930423
59,"SUBJ",0.371258503401361,6.43249504268169
62,"WH",0.572684365781711,8.96552447477976
63,"SUBJ",0.322212121212121,7.53403705709121
66,"WH",0.525416666666667,9.23894457817078
67,"SUBJ",0.38533950617284,7.61182562112808
70,"WH",0.475994065281899,8.59035030236611
71,"SUBJ",0.447094801223242,8.51224812177511
74,"WH",0.449652173913043,7.67677625815074
75,"SUBJ",0.334767801857585,8.28078523703984
78,"WH",0.591713395638629,7.39493532975515
79,"SUBJ",0.37,7.07085157843197
82,"WH",0.541487603305785,8.25638369719187
83,"SUBJ",0.47794952681388,6.91344585021337
86,"WH",0.541333333333333,8.8377637646415
87,"SUBJ",0.4932,7.59135858446825
0,"CNPC",0.462058823529412,8.07229878505071
5,"SUBJ",0.474623655913978,8.074327592055
7,"WH",0.620769230769231,9.45497314929962
9,"CNPC",0.467647058823529,7.92237617419316
14,"SUBJ",0.466344086021505,7.06578670931049
16,"WH",0.632051282051282,8.80332503318787
18,"CNPC",0.484019607843137,7.80285890285785
23,"SUBJ",0.478817204301075,8.08850067574531
25,"WH",0.530384615384615,8.4150707523028
27,"CNPC",0.492647058823529,6.80247931182384
32,"SUBJ",0.476451612903226,8.92953745524088
34,"WH",0.601666666666667,7.67131005922953
36,"CNPC",0.435980392156863,8.47237712144852
41,"SUBJ",0.46989247311828,7.39559015962813
43,"WH",0.653333333333333,8.42084897930423
45,"CNPC",0.519411764705882,8.25185785974775
50,"SUBJ",0.436774193548387,7.61182562112808
52,"WH",0.627820512820513,8.59035030236611
54,"CNPC",0.487647058823529,7.01618494799263
59,"SUBJ",0.475376344086022,7.07085157843197
61,"WH",0.647435897435897,8.25638369719187
63,"CNPC",0.444607843137255,8.12230653029222
68,"SUBJ",0.588387096774194,7.64745001494884
70,"WH",0.617051282051282,8.40145784157973
72,"CNPC",0.504803921568627,7.80010263621807
77,"SUBJ",0.530215053763441,8.47570652621133
79,"WH",0.626923076923077,8.35309866299996
81,"CNPC",0.544019607843137,6.03054839764771
86,"SUBJ",0.51258064516129,8.85116141117536
88,"WH",0.618076923076923,8.31578351184726
90,"CNPC",0.45421568627451,7.61376157753608
95,"SUBJ",0.490752688172043,6.19688129425049
97,"WH",0.571538461538462,8.48827234974929
99,"CNPC",0.569705882352941,8.55892960464253
104,"SUBJ",0.394301075268817,7.45937019586563
106,"WH",0.646923076923077,8.09690557993375
108,"CNPC",0.439901960784314,8.43434926215559
113,"SUBJ",0.355698924731183,9.23986616251724
115,"WH",0.636410256410256,10.2362169265747
117,"CNPC",0.441960784313725,7.61279467493296
122,"SUBJ",0.417634408602151,7.86725140895162
124,"WH",0.598846153846154,7.87278616002628
126,"CNPC",0.471078431372549,8.1998071372509
131,"SUBJ",0.406989247311828,8.27026738439288
133,"WH",0.619615384615385,11.3387660329992
