"test_match_cond","speaker_identity","trial_sequence_total","list_number","phase","condition","Answer.time_in_minutes","wrong_attempts","block_sequence","workerid","item_number","island_tested","response","Answer.condition","comp_question_exist","first_response_value","comp_answer"
"mismatch","Gregory",47,"2","test","SUBJ",12.01795,NA,4,0,"9","SUBJ",0.21,"undefined",0,NA,"/"
"mismatch","Thomas",48,"2","test","FILL",12.01795,NA,4,0,"133","SUBJ",0.94,"undefined",0,NA,"/"
"mismatch","Thomas",49,"2","test","FILL",12.01795,NA,5,0,"136","SUBJ",0.94,"undefined",0,NA,"/"
"mismatch","Gregory",50,"2","test","SUBJ",12.01795,NA,5,0,"18","SUBJ",0.44,"undefined",0,NA,"/"
"mismatch","Iron-Head",51,"2","test","UNGRAM",12.01795,NA,5,0,"145","SUBJ",0.06,"undefined",1,NA,"Iron-Head"
"mismatch","Thomas",52,"2","test","FILL",12.01795,NA,6,0,"132","SUBJ",0.97,"undefined",0,NA,"/"
"mismatch","Gregory",53,"2","test","SUBJ",12.01795,NA,6,0,"6","SUBJ",0.93,"undefined",0,NA,"/"
"mismatch","Iron-Head",54,"2","test","UNGRAM",12.01795,NA,6,0,"141","SUBJ",0.03,"undefined",0,NA,"/"
"mismatch","Thomas",55,"2","test","FILL",12.01795,NA,7,0,"131","SUBJ",0.93,"undefined",0,NA,"/"
"mismatch","Gregory",56,"2","test","SUBJ",12.01795,NA,7,0,"3","SUBJ",0.58,"undefined",0,NA,"/"
"mismatch","Iron-Head",57,"2","test","UNGRAM",12.01795,NA,7,0,"140","SUBJ",0.04,"undefined",1,NA,"Iron-Head"
"mismatch","Thomas",58,"2","test","FILL",12.01795,NA,8,0,"134","SUBJ",0.97,"undefined",1,NA,"Thomas"
"mismatch","Iron-Head",59,"2","test","UNGRAM",12.01795,NA,8,0,"143","SUBJ",0.05,"undefined",1,NA,"Iron-Head"
"mismatch","Gregory",60,"2","test","SUBJ",12.01795,NA,8,0,"12","SUBJ",0.81,"undefined",1,NA,"Gregory"
"mismatch","Thomas",61,"2","test","FILL",12.01795,NA,9,0,"135","SUBJ",0.89,"undefined",0,NA,"/"
"mismatch","Iron-Head",62,"2","test","UNGRAM",12.01795,NA,9,0,"144","SUBJ",0.08,"undefined",1,NA,"Iron-Head"
"mismatch","Gregory",63,"2","test","SUBJ",12.01795,NA,9,0,"15","SUBJ",0.9,"undefined",0,NA,"/"
"mismatch","Thomas",1,"1","exposure","FILL",15.03465,NA,2,1,"103","WH",0.9,"undefined",0,NA,"/"
"mismatch","Emily",2,"1","exposure","WH",15.03465,NA,2,1,"9","WH",0.52,"undefined",0,NA,"/"
"mismatch","Iron-Head",3,"1","exposure","UNGRAM",15.03465,NA,2,1,"118","WH",0.01,"undefined",1,NA,"Iron-Head"
"mismatch","Thomas",4,"1","exposure","FILL",15.03465,NA,15,1,"112","WH",0.98,"undefined",0,NA,"/"
"mismatch","Emily",5,"1","exposure","WH",15.03465,NA,15,1,"36","WH",0.51,"undefined",0,NA,"/"
"mismatch","Iron-Head",6,"1","exposure","UNGRAM",15.03465,NA,15,1,"127","WH",0,"undefined",0,NA,"/"
"mismatch","Emily",7,"1","exposure","WH",15.03465,NA,16,1,"15","WH",0.52,"undefined",1,NA,"Emily"
"mismatch","Thomas",8,"1","exposure","FILL",15.03465,NA,16,1,"105","WH",0.98,"undefined",0,NA,"/"
"mismatch","Iron-Head",9,"1","exposure","UNGRAM",15.03465,NA,16,1,"120","WH",0.01,"undefined",0,NA,"/"
"mismatch","Emily",10,"1","exposure","WH",15.03465,NA,17,1,"33","WH",0.49,"undefined",0,NA,"/"
"mismatch","Thomas",11,"1","exposure","FILL",15.03465,NA,17,1,"111","WH",0.9,"undefined",1,NA,"Thomas"
"mismatch","Iron-Head",12,"1","exposure","UNGRAM",15.03465,NA,17,1,"126","WH",0.01,"undefined",0,NA,"/"
"mismatch","Iron-Head",13,"1","exposure","UNGRAM",15.03465,NA,18,1,"129","WH",0.01,"undefined",0,NA,"/"
"mismatch","Emily",14,"1","exposure","WH",15.03465,NA,18,1,"42","WH",0.52,"undefined",0,NA,"/"
"mismatch","Thomas",15,"1","exposure","FILL",15.03465,NA,18,1,"114","WH",0.99,"undefined",1,NA,"Thomas"
"mismatch","Thomas",16,"1","exposure","FILL",15.03465,NA,19,1,"107","WH",0.89,"undefined",0,NA,"/"
"mismatch","Iron-Head",17,"1","exposure","UNGRAM",15.03465,NA,19,1,"122","WH",0.01,"undefined",0,NA,"/"
"mismatch","Emily",18,"1","exposure","WH",15.03465,NA,19,1,"21","WH",0.5,"undefined",1,NA,"Emily"
"mismatch","Thomas",19,"1","exposure","FILL",15.03465,NA,20,1,"109","WH",0.95,"undefined",0,NA,"/"
"mismatch","Emily",20,"1","exposure","WH",15.03465,NA,20,1,"27","WH",0.58,"undefined",0,NA,"/"
"mismatch","Iron-Head",21,"1","exposure","UNGRAM",15.03465,NA,20,1,"124","WH",0.02,"undefined",0,NA,"/"
"mismatch","Thomas",22,"1","exposure","FILL",15.03465,NA,21,1,"101","WH",0.98,"undefined",0,NA,"/"
"mismatch","Emily",23,"1","exposure","WH",15.03465,NA,21,1,"3","WH",0.59,"undefined",0,NA,"/"
"mismatch","Iron-Head",24,"1","exposure","UNGRAM",15.03465,NA,21,1,"116","WH",0,"undefined",0,NA,"/"
"mismatch","Thomas",25,"1","exposure","FILL",15.03465,NA,22,1,"115","WH",0.89,"undefined",0,NA,"/"
"mismatch","Iron-Head",26,"1","exposure","UNGRAM",15.03465,NA,22,1,"130","WH",0.01,"undefined",0,NA,"/"
"mismatch","Emily",27,"1","exposure","WH",15.03465,NA,22,1,"45","WH",0.62,"undefined",0,NA,"/"
"mismatch","Thomas",28,"1","exposure","FILL",15.03465,NA,3,1,"102","WH",0.97,"undefined",0,NA,"/"
"mismatch","Emily",29,"1","exposure","WH",15.03465,NA,3,1,"6","WH",0.66,"undefined",0,NA,"/"
"mismatch","Iron-Head",30,"1","exposure","UNGRAM",15.03465,NA,3,1,"117","WH",0,"undefined",0,NA,"/"
"mismatch","Emily",31,"1","exposure","WH",15.03465,NA,10,1,"30","WH",0.42,"undefined",0,NA,"/"
"mismatch","Thomas",32,"1","exposure","FILL",15.03465,NA,10,1,"110","WH",0.99,"undefined",0,NA,"/"
"mismatch","Iron-Head",33,"1","exposure","UNGRAM",15.03465,NA,10,1,"125","WH",0.01,"undefined",0,NA,"/"
"mismatch","Thomas",34,"1","exposure","FILL",15.03465,NA,11,1,"104","WH",0.94,"undefined",1,NA,"Thomas"
"mismatch","Emily",35,"1","exposure","WH",15.03465,NA,11,1,"12","WH",0.59,"undefined",0,NA,"/"
"mismatch","Iron-Head",36,"1","exposure","UNGRAM",15.03465,NA,11,1,"119","WH",0.01,"undefined",0,NA,"/"
"mismatch","Iron-Head",37,"1","exposure","UNGRAM",15.03465,NA,12,1,"128","WH",0,"undefined",0,NA,"/"
"mismatch","Thomas",38,"1","exposure","FILL",15.03465,NA,12,1,"113","WH",0.91,"undefined",0,NA,"/"
"mismatch","Emily",39,"1","exposure","WH",15.03465,NA,12,1,"39","WH",0.33,"undefined",0,NA,"/"
"mismatch","Thomas",40,"1","exposure","FILL",15.03465,NA,13,1,"106","WH",0.93,"undefined",1,NA,"Thomas"
"mismatch","Emily",41,"1","exposure","WH",15.03465,NA,13,1,"18","WH",0.46,"undefined",0,NA,"/"
"mismatch","Iron-Head",42,"1","exposure","UNGRAM",15.03465,NA,13,1,"121","WH",0.01,"undefined",0,NA,"/"
"mismatch","Emily",43,"1","exposure","WH",15.03465,NA,14,1,"24","WH",0.68,"undefined",0,NA,"/"
"mismatch","Iron-Head",44,"1","exposure","UNGRAM",15.03465,NA,14,1,"123","WH",0,"undefined",1,NA,"Iron-Head"
"mismatch","Thomas",45,"1","exposure","FILL",15.03465,NA,14,1,"108","WH",0.98,"undefined",1,NA,"Thomas"
"mismatch","Thomas",46,"2","test","WH",15.03465,NA,4,1,"4","WH",0.22,"undefined",0,NA,"/"
"mismatch","Iron-Head",47,"2","test","UNGRAM",15.03465,NA,4,1,"141","WH",0.01,"undefined",0,NA,"/"
"mismatch","Emily",48,"2","test","FILL",15.03465,NA,4,1,"132","WH",0.92,"undefined",0,NA,"/"
"mismatch","Thomas",49,"2","test","WH",15.03465,NA,5,1,"7","WH",0.41,"undefined",0,NA,"/"
"mismatch","Emily",50,"2","test","FILL",15.03465,NA,5,1,"133","WH",0.94,"undefined",0,NA,"/"
"mismatch","Iron-Head",51,"2","test","UNGRAM",15.03465,NA,5,1,"142","WH",0.01,"undefined",0,NA,"/"
"mismatch","Thomas",52,"2","test","WH",15.03465,NA,6,1,"1","WH",0.28,"undefined",1,NA,"Thomas"
"mismatch","Emily",53,"2","test","FILL",15.03465,NA,6,1,"131","WH",0.94,"undefined",0,NA,"/"
"mismatch","Iron-Head",54,"2","test","UNGRAM",15.03465,NA,6,1,"140","WH",0.01,"undefined",0,NA,"/"
"mismatch","Iron-Head",55,"2","test","UNGRAM",15.03465,NA,7,1,"144","WH",0.01,"undefined",0,NA,"/"
"mismatch","Thomas",56,"2","test","WH",15.03465,NA,7,1,"13","WH",0.21,"undefined",0,NA,"/"
"mismatch","Emily",57,"2","test","FILL",15.03465,NA,7,1,"135","WH",0.97,"undefined",0,NA,"/"
"mismatch","Thomas",58,"2","test","WH",15.03465,NA,8,1,"10","WH",0.43,"undefined",0,NA,"/"
"mismatch","Iron-Head",59,"2","test","UNGRAM",15.03465,NA,8,1,"143","WH",0,"undefined",0,NA,"/"
"mismatch","Emily",60,"2","test","FILL",15.03465,NA,8,1,"134","WH",1,"undefined",1,NA,"Emily"
"mismatch","Emily",61,"2","test","FILL",15.03465,NA,9,1,"136","WH",0.99,"undefined",1,NA,"Emily"
"mismatch","Thomas",62,"2","test","WH",15.03465,NA,9,1,"16","WH",0.55,"undefined",0,NA,"/"
"mismatch","Iron-Head",63,"2","test","UNGRAM",15.03465,NA,9,1,"145","WH",0.01,"undefined",0,NA,"/"
"mismatch","Iron-Head",1,"1","exposure","UNGRAM",15.5312,NA,2,2,"116","CNPC",0,"undefined",0,NA,"/"
"mismatch","Emily",2,"1","exposure","FILL",15.5312,NA,2,2,"101","CNPC",0.92,"undefined",0,NA,"/"
"mismatch","Thomas",3,"1","exposure","CNPC",15.5312,NA,2,2,"1","CNPC",1,"undefined",0,NA,"/"
"mismatch","Emily",4,"1","exposure","FILL",15.5312,NA,15,2,"105","CNPC",0.96,"undefined",0,NA,"/"
"mismatch","Iron-Head",5,"1","exposure","UNGRAM",15.5312,NA,15,2,"120","CNPC",0,"undefined",0,NA,"/"
"mismatch","Thomas",6,"1","exposure","CNPC",15.5312,NA,15,2,"13","CNPC",1,"undefined",0,NA,"/"
"mismatch","Iron-Head",7,"1","exposure","UNGRAM",15.5312,NA,16,2,"124","CNPC",0,"undefined",0,NA,"/"
"mismatch","Emily",8,"1","exposure","FILL",15.5312,NA,16,2,"109","CNPC",0.96,"undefined",0,NA,"/"
"mismatch","Thomas",9,"1","exposure","CNPC",15.5312,NA,16,2,"25","CNPC",0.16,"undefined",1,NA,"Gregory"
"mismatch","Thomas",10,"1","exposure","CNPC",15.5312,NA,17,2,"28","CNPC",0.17,"undefined",0,NA,"/"
"mismatch","Emily",11,"1","exposure","FILL",15.5312,NA,17,2,"110","CNPC",0.98,"undefined",0,NA,"/"
"mismatch","Iron-Head",12,"1","exposure","UNGRAM",15.5312,NA,17,2,"125","CNPC",0,"undefined",0,NA,"/"
"mismatch","Emily",13,"1","exposure","FILL",15.5312,NA,18,2,"113","CNPC",0.9,"undefined",0,NA,"/"
"mismatch","Iron-Head",14,"1","exposure","UNGRAM",15.5312,NA,18,2,"128","CNPC",0.03,"undefined",0,NA,"/"
"mismatch","Thomas",15,"1","exposure","CNPC",15.5312,NA,18,2,"37","CNPC",0.17,"undefined",0,NA,"/"
"mismatch","Emily",16,"1","exposure","FILL",15.5312,NA,19,2,"106","CNPC",0.99,"undefined",0,NA,"/"
"mismatch","Thomas",17,"1","exposure","CNPC",15.5312,NA,19,2,"16","CNPC",0.24,"undefined",0,NA,"/"
"mismatch","Iron-Head",18,"1","exposure","UNGRAM",15.5312,NA,19,2,"121","CNPC",0,"undefined",0,NA,"/"
"mismatch","Thomas",19,"1","exposure","CNPC",15.5312,NA,20,2,"10","CNPC",0.67,"undefined",1,NA,"Thomas"
"mismatch","Iron-Head",20,"1","exposure","UNGRAM",15.5312,NA,20,2,"119","CNPC",0,"undefined",0,NA,"/"
"mismatch","Emily",21,"1","exposure","FILL",15.5312,NA,20,2,"104","CNPC",0.94,"undefined",0,NA,"/"
"mismatch","Thomas",22,"1","exposure","CNPC",15.5312,NA,21,2,"40","CNPC",0.15,"undefined",1,NA,"Thomas"
"mismatch","Emily",23,"1","exposure","FILL",15.5312,NA,21,2,"114","CNPC",0.89,"undefined",0,NA,"/"
"mismatch","Iron-Head",24,"1","exposure","UNGRAM",15.5312,NA,21,2,"129","CNPC",0.01,"undefined",0,NA,"/"
"mismatch","Thomas",25,"1","exposure","CNPC",15.5312,NA,22,2,"4","CNPC",0.19,"undefined",0,NA,"/"
"mismatch","Emily",26,"1","exposure","FILL",15.5312,NA,22,2,"102","CNPC",0.98,"undefined",1,NA,"Emily"
"mismatch","Iron-Head",27,"1","exposure","UNGRAM",15.5312,NA,22,2,"117","CNPC",0,"undefined",0,NA,"/"
"mismatch","Iron-Head",28,"1","exposure","UNGRAM",15.5312,NA,3,2,"118","CNPC",0,"undefined",0,NA,"/"
"mismatch","Thomas",29,"1","exposure","CNPC",15.5312,NA,3,2,"7","CNPC",0.09,"undefined",1,NA,"Thomas"
"mismatch","Emily",30,"1","exposure","FILL",15.5312,NA,3,2,"103","CNPC",1,"undefined",1,NA,"Emily"
"mismatch","Emily",31,"1","exposure","FILL",15.5312,NA,10,2,"108","CNPC",1,"undefined",0,NA,"/"
"mismatch","Iron-Head",32,"1","exposure","UNGRAM",15.5312,NA,10,2,"123","CNPC",0,"undefined",0,NA,"/"
"mismatch","Thomas",33,"1","exposure","CNPC",15.5312,NA,10,2,"22","CNPC",0.23,"undefined",0,NA,"/"
"mismatch","Iron-Head",34,"1","exposure","UNGRAM",15.5312,NA,11,2,"126","CNPC",0,"undefined",0,NA,"/"
"mismatch","Thomas",35,"1","exposure","CNPC",15.5312,NA,11,2,"31","CNPC",0.63,"undefined",0,NA,"/"
"mismatch","Emily",36,"1","exposure","FILL",15.5312,NA,11,2,"111","CNPC",1,"undefined",0,NA,"/"
