"sentence_id","mean_surprisal","weight_first","weight_last","weight_sum","normalized", "sentence_string"
2,10.695170710484186,12.900353692389224,12.307554209129572,12.603953950759395,1.2208815169735336, Kerry attempted to study physics .
3,10.91799220442772,13.735789334043643,13.487254161131323,13.61152174758748,1.182147799293196, Jimmy attempted to weave a basket .
4,10.818401670349497,14.40378131123234,13.002224514418348,13.703002912825344,1.1368914418942293, Brittany attempted to touch the porcupine .
5,10.234678002695242,13.030170746842089,10.748685438654874,11.889428092748481,0.9805710939854657, Frank attempted to eat a triple fudge sundae .
6,10.782664273466382,13.821606555610435,14.308813790244177,14.065210172927307,1.2047227563486302, Kat attempted to keep her mail .
7,9.426477010760989,14.674867930214464,10.158528759142317,12.416698344678391,1.073362822325641, Phillip attempted to watch a movie .
8,11.745793585975965,15.206986241733107,13.938198245995423,14.572592243864262,1.3278101677526124, Vivian attempted to write stories .
9,8.133701030697141,13.81260595703395,9.962324134177614,11.88746504560578,1.005925420076446, Tommy attempted to take a picture .
10,9.299844410684374,8.45901889585022,8.956935735628067,8.707977315739143,1.1162389890767375, He seems to that Kim solved the problem .
11,6.5964427429896135,8.88564573381429,6.432920730514438,7.659283232164363,0.873619130688372, They appear to that Chris is the right person for the job .
12,8.815361212600362,9.115005464135388,9.972111012834729,9.543558238485058,0.9573393449944738, She seems to that Garrett should be punished for lying .
13,9.861725464463234,8.008364189928608,9.63678357193396,8.822573880931284,1.0737065478967756, I appear to that Data is an unsafe driver .
14,8.82030360483461,7.320622428134314,8.357886912424561,7.8392546702794395,0.9935456029598733, I seem to that Robert can't be trusted .
15,10.018225979804992,9.130548660380821,10.427597749595098,9.77907320498796,1.017753189315903, She appears to that Kyle cheated on his homework .
16,10.965742900967598,8.818139827297472,11.277234432321453,10.047687129809463,1.1346680146118715, They seem to that Sandra hates cooking .
17,11.532427407801151,8.654138233778843,12.020748421427127,10.337443327602983,1.2540146046858953, He appears to that Erin enjoys swimming .
18,7.925648295879364,6.321773655221311,9.413158454834159,7.8674660550277355,0.9394493494162642, It seems to him that Kim solved the problem .
19,5.570861631206104,6.564062814075531,6.882694638175785,6.723378726125659,0.7463925734174648, It appears to them that Chris is the right person for the job .
20,7.135405401388804,6.379102529527823,10.52340467759111,8.451253603559467,0.8290589876466498, It seems to her that Garrett should be punished for lying .
21,7.169710392301733,6.303812196802607,9.66549720210505,7.984654699453828,0.7951711147593195, It appears to me that Dana is an unsafe driver .
22,5.964290171861649,5.9736944213035335,8.443033203239267,7.2083638122714015,0.7408754379492203, It seems to me that Robert can't be trusted .
23,8.318431856957348,6.635829821993831,10.615424735185291,8.625627278589562,0.8875936511190644, It appears to her that Kyle cheated on his homework .
24,9.249032888147566,6.314915426970088,11.861079199711607,9.087997313340848,0.9743875313367436, It seems to them that Sandra hates cooking .
25,8.968766159481472,6.585728449574531,11.721863175919841,9.153795812747182,0.9969269176217905, It appears to him that Erin enjoys swimming .
26,10.05557998589107,15.253924837528425,10.840164878377498,13.047044857952962,1.231384793099173, Ginny remembered to bring the beer .
27,8.479264889444623,11.930081333755489,11.375142076954873,11.65261170535518,1.0653058442466088, Thomas tried to stop the thief .
28,10.239455011473703,14.418114220194822,11.848948286649108,13.133531253421966,1.0920759273188654, Susan attempted to perform a backflip .
29,9.59146586060524,13.327919494176479,11.070751309397039,12.199335401786756,1.1626784054976422, Bobby planned to attend college .
30,8.512307539582253,13.541295177303715,11.44163484812167,12.49146501271269,1.082651232981573, Sarah hoped to go to the party .
31,8.855706132948399,13.201633326808006,10.23222252767891,11.716927927243454,1.0269827377345784, Scott intended to run for class president .
32,8.133759682998061,14.03738025155135,10.014069288775138,12.025724770163245,0.9378923629452187, Vanessa refused to take out the garbage .
33,9.108235525233406,12.804859621796975,11.82323895522905,12.314049288513012,1.1826557937411444, Michael managed to drive his car .
34,9.660456519573927,16.615855796025194,10.113786163948735,13.364820979986964,1.1249251534560554, Gino believed Rebecca to be the best .
35,11.205844057457787,14.719050409336347,10.618732779861283,12.668891594598813,1.2029436830692535, Anthony believed Dawn to be intelligent .
36,12.820706765566554,19.681700288718922,12.766278143361319,16.223989216040117,1.3363597642218916, Charlene believed Shawn to be helpful .
37,10.98851917896952,15.083106974766473,10.574176988254097,12.828641981510286,1.1095625649981284, Marty believed Carla to be trustworthy .
38,11.378106694136347,14.413243408284893,11.45130294093814,12.932273174611517,1.2054613106129632, Jessica believed Brad to be vain .
39,11.804918936320714,14.964529732005595,12.087708706584442,13.526119219295019,1.334135977088258, Charles believed Faith to be unhappy .
40,10.759168575916972,16.259099740333813,10.850872339387744,13.554986039860777,1.1973391320825557, Lacey believed John to be jealous .
41,10.309794154018164,15.201414011404735,12.297634747787521,13.749524379596128,1.238589899297615, Victor believed Dana to be the youngest .
42,7.989744825796648,14.699738308483216,11.814426784760196,13.257082546621707,0.9427501850699013, Sarah convinced Bill that he would go to the party .
43,8.543068552017212,13.256179733763537,9.92195929794628,11.58906951585491,0.8728553936222024, Joe convinced Sue that she would eat her lunch .
44,9.280282592773437,14.19666050091864,12.37316900125278,13.284914751085712,0.9734438490070232, Juan convinced Maria that she would finish her shopping .
45,9.376255047321319,16.28438477584421,10.984255895812192,13.634320335828201,0.9883436075880674, Betty convinced Fred that he would wash the car .
46,8.1053898117759,15.52809256837415,10.957636424566294,13.24286449647022,0.9140763003321094, Cindy convinced Charles that he would go to the bank .
47,9.335537242889405,16.57978684270446,10.25270643137289,13.416246637038679,0.9540948138930831, Debra convinced Elliot that he would wash the dishes .
