"#Data from Experiment 1 of Sprouse, Jon, Matt Wagers, & Colin Phillips. 2012. A test of the relation between working memory capacity and syntactic island effects. Language 88(1): 82-123.",,,,,,,,,,,
#This data is provided in the spirit of open science so that other researchers can verify the analyses.,,,,,,,,,,,
#Please contact Jon Sprouse if you would like to discuss the possibility of using this data set for novel research.,,,,,,,,,,,
"#If you are using R to read this file, try adding skip=5 to the read function.",,,,,,,,,,,
,,,,,,,,,,,
subject,gender,age,recall,survey,condition,subdesign,structure,distance,item,raw.judgment,zscores
28,M,21,4,2,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.2.a,3,-0.989665495
28,M,21,4,2,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.2.b,5,0.128074358
29,F,21,3,2,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.2.a,2,-0.695374858
29,F,21,3,2,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.2.b,2,-0.695374858
30,M,19,4.75,2,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.2.a,2,-1.110017299
30,M,19,4.75,2,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.2.b,2,-1.110017299
31,M,21,5,2,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.2.a,2,-1.443944715
31,M,21,5,2,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.2.b,3,-0.673840867
32,M,19,4,2,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.2.a,3,-0.540039228
32,M,19,4,2,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.2.b,2,-1.029131358
33,M,19,5,2,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.2.a,1,-1.319193074
33,M,19,5,2,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.2.b,2,-0.863644387
34,F,18,3.5,2,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.2.a,2,-0.939702674
34,F,18,3.5,2,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.2.b,1,-1.338868412
35,F,21,4.75,2,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.2.a,1,-1.270071329
35,F,21,4.75,2,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.2.b,1,-1.270071329
36,F,20,5,2,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.2.a,3,-0.30054788
36,F,20,5,2,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.2.b,6,1.142081945
37,F,20,4.5,2,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.2.a,5,0.437166396
37,F,20,4.5,2,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.2.b,7,1.2143511
38,M,20,4.25,3,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.3.a,1,-1.260486509
38,M,20,4.25,3,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.3.b,1,-1.260486509
39,F,19,4.25,3,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.3.a,1,-1.171607251
39,F,19,4.25,3,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.3.b,1,-1.171607251
40,F,20,2.75,3,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.3.a,2,-0.939066813
40,F,20,2.75,3,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.3.b,2,-0.939066813
41,F,21,3.5,3,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.3.a,3,0.131528569
41,F,21,3.5,3,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.3.b,1,-1.131145692
42,F,22,4,3,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.3.a,1,-0.938470235
42,F,22,4,3,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.3.b,1,-0.938470235
43,M,21,3.25,3,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.3.a,1,-1.086997813
43,M,21,3.25,3,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.3.b,1,-1.086997813
44,F,20,4.5,3,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.3.a,2,-0.880249285
44,F,20,4.5,3,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.3.b,2,-0.880249285
45,F,23,4,3,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.3.a,2,-1.251549999
45,F,23,4,3,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.3.b,4,-0.197613158
46,M,21,3,3,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.3.a,5,0.366847937
46,M,21,3,3,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.3.b,3,-0.847545235
47,F,20,2.5,3,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.3.a,1,-1.664550986
47,F,20,2.5,3,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.3.b,2,-1.232667487
48,M,21,3.75,3,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.3.a,2,-0.772427591
48,M,21,3.75,3,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.3.b,2,-0.772427591
49,M,21,5.75,3,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.3.a,2,-0.831044401
49,M,21,5.75,3,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.3.b,1,-1.274268081
50,M,21,2.5,3,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.3.a,1,-1.495844637
50,M,21,2.5,3,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.3.b,1,-1.495844637
51,M,21,4.75,3,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.3.a,1,-1.189510492
51,M,21,4.75,3,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.3.b,1,-1.189510492
52,F,22,3,3,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.3.a,1,-1.278951808
52,F,22,3,3,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.3.b,2,-0.827557052
53,F,19,3,3,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.3.a,2,-0.871251253
53,F,19,3,3,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.3.b,1,-1.273367216
54,F,19,3.25,3,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.3.a,3,-0.805566824
54,F,19,3.25,3,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.3.b,4,-0.309833394
55,F,21,4,4,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.4.a,1,-1.206869466
55,F,21,4,4,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.4.b,1,-1.206869466
56,M,21,2.75,4,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.4.a,1,-1.745785486
56,M,21,2.75,4,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.4.b,1,-1.745785486
57,M,21,4.25,4,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.4.a,1,-0.99998893
57,M,21,4.25,4,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.4.b,1,-0.99998893
58,M,20,3.25,4,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.4.a,1,-1.028484519
58,M,20,3.25,4,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.4.b,1,-1.028484519
59,F,21,5.5,4,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.4.a,1,-1.315262086
59,F,21,5.5,4,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.4.b,1,-1.315262086
60,F,20,4,4,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.4.a,1,-1.051609411
