sentence,condition,word,surprisal
1,B2_A1,1,8.291176795959473
1,B2_A1,2,3.7790117263793945
1,B2_A1,3,1.3449807167053223
1,B2_A1,4,15.218209266662598
1,B2_A1,5,6.647397994995117
1,B2_A1,6,3.721672296524048
1,B2_A1,7,9.856474876403809
1,B2_A1,8,1.0674320459365845
1,B2_A1,9,4.222507476806641
1,B2_A1,10,11.399531364440918
1,B2_A1,11,4.343092441558838
1,B2_A1,12,13.648999214172363
1,B2_A1,13,4.158333778381348
1,B2_A1,14,8.677573204040527
1,B2_A1,15,7.536447048187256
2,B2_A1,1,10.909401893615723
2,B2_A1,2,5.937392234802246
2,B2_A1,3,4.689705848693848
2,B2_A1,4,10.266853332519531
2,B2_A1,5,3.6512644290924072
2,B2_A1,6,4.871047496795654
2,B2_A1,7,11.056939125061035
2,B2_A1,8,1.5173852443695068
2,B2_A1,9,9.364343643188477
2,B2_A1,10,3.331890344619751
2,B2_A1,11,14.358681082725525
2,B2_A1,12,10.21678638458252
3,B2_A1,1,8.291176795959473
3,B2_A1,2,3.7790117263793945
3,B2_A1,3,1.3449807167053223
3,B2_A1,4,14.846308708190918
3,B2_A1,5,8.694698333740234
3,B2_A1,6,4.086803913116455
3,B2_A1,7,8.909969329833984
3,B2_A1,8,0.997992992401123
3,B2_A1,9,1.8126317262649536
3,B2_A1,10,11.420907974243164
3,B2_A1,11,0.9695689082145691
3,B2_A1,12,0.6125136613845825
3,B2_A1,13,9.643596649169922
3,B2_A1,14,0.6477496027946472
3,B2_A1,15,13.284354209899902
3,B2_A1,16,7.469183444976807
4,B2_A1,1,10.909401893615723
4,B2_A1,2,5.630332946777344
4,B2_A1,3,1.7240923643112183
4,B2_A1,4,12.162358283996582
4,B2_A1,5,4.2677178382873535
4,B2_A1,6,3.9842636585235596
4,B2_A1,7,9.998173713684082
4,B2_A1,8,1.0225573778152466
4,B2_A1,9,5.034800052642822
4,B2_A1,10,12.25731086730957
4,B2_A1,11,0.5806594491004944
4,B2_A1,12,7.914606094360352
4,B2_A1,13,7.509458065032959
4,B2_A1,14,7.80391263961792
5,B2_A1,1,8.291176795959473
5,B2_A1,2,3.7790117263793945
5,B2_A1,3,1.3449807167053223
5,B2_A1,4,16.8647098839283
5,B2_A1,5,6.823649883270264
5,B2_A1,6,4.896661758422852
5,B2_A1,7,9.675474166870117
5,B2_A1,8,0.9011378884315491
5,B2_A1,9,10.065520286560059
5,B2_A1,10,9.906695365905762
5,B2_A1,11,0.9512115120887756
5,B2_A1,12,4.665256977081299
5,B2_A1,13,1.6579806804656982
5,B2_A1,14,5.306342124938965
5,B2_A1,15,1.2249191999435425
5,B2_A1,16,4.768326282501221
5,B2_A1,17,4.600739479064941
5,B2_A1,18,0.07984262704849243
5,B2_A1,19,4.081439971923828
6,B2_A1,1,10.909401893615723
6,B2_A1,2,5.630332946777344
6,B2_A1,3,1.7240923643112183
6,B2_A1,4,12.711910247802734
6,B2_A1,5,5.057085990905762
6,B2_A1,6,3.5449819564819336
6,B2_A1,7,9.640571594238281
6,B2_A1,8,0.7286102175712585
6,B2_A1,9,1.927016019821167
6,B2_A1,10,12.793692588806152
6,B2_A1,11,0.6742589473724365
6,B2_A1,12,1.3923346996307373
6,B2_A1,13,8.72813892364502
6,B2_A1,14,11.216811180114746
6,B2_A1,15,8.13940143585205
7,B2_A1,1,8.291176795959473
7,B2_A1,2,3.7790117263793945
7,B2_A1,3,1.3449807167053223
7,B2_A1,4,13.649749755859375
7,B2_A1,5,5.657182693481445
7,B2_A1,6,6.669466018676758
7,B2_A1,7,3.4025442600250244
7,B2_A1,8,6.796278476715088
7,B2_A1,9,0.9097001552581787
7,B2_A1,10,1.8894950151443481
7,B2_A1,11,16.725933402776718
7,B2_A1,12,0.9903365969657898
7,B2_A1,13,2.3326668739318848
7,B2_A1,14,10.888339042663574
7,B2_A1,15,1.3321387767791748
7,B2_A1,16,12.318400382995605
7,B2_A1,17,6.809545993804932
8,B2_A1,1,8.291176795959473
8,B2_A1,2,6.653526782989502
8,B2_A1,3,2.0204825401306152
8,B2_A1,4,12.958778381347656
8,B2_A1,5,4.945835590362549
8,B2_A1,6,5.194528579711914
8,B2_A1,7,11.101402282714844
8,B2_A1,8,1.3271057605743408
8,B2_A1,9,1.740189790725708
8,B2_A1,10,10.657426834106445
8,B2_A1,11,6.454852104187012
8,B2_A1,12,6.5300421714782715
8,B2_A1,13,17.104389190673828
8,B2_A1,14,4.948862075805664
8,B2_A1,15,6.924112319946289
8,B2_A1,16,5.119415283203125
9,B2_A1,1,8.291176795959473
9,B2_A1,2,3.7790117263793945
