sentence,condition,word,surprisal
1,0_A1,1,8.227356910705566
1,0_A1,2,4.618374347686768
1,0_A1,3,2.9918620586395264
1,0_A1,4,15.420867919921875
1,0_A1,5,8.84918212890625
1,0_A1,6,6.279707908630371
1,0_A1,7,13.636512756347656
1,0_A1,8,4.825520038604736
1,0_A1,9,3.7589714527130127
1,0_A1,10,10.425851821899414
1,0_A1,11,4.633111953735352
1,0_A1,12,13.012986183166504
1,0_A1,13,4.007123947143555
1,0_A1,14,8.045940399169922
1,0_A1,15,13.319367408752441
2,0_A1,1,10.729805946350098
2,0_A1,2,6.0954766273498535
2,0_A1,3,7.086714744567871
2,0_A1,4,11.293787002563477
2,0_A1,5,4.450003623962402
2,0_A1,6,7.321467876434326
2,0_A1,7,13.241547584533691
2,0_A1,8,4.247900485992432
2,0_A1,9,8.699239730834961
2,0_A1,10,4.941441535949707
2,0_A1,11,13.965044111013412
2,0_A1,12,15.558263778686523
3,0_A1,1,8.227356910705566
3,0_A1,2,4.618374347686768
3,0_A1,3,2.9918620586395264
3,0_A1,4,15.413163185119629
3,0_A1,5,11.631823539733887
3,0_A1,6,6.563202381134033
3,0_A1,7,12.455817222595215
3,0_A1,8,3.3763158321380615
3,0_A1,9,2.65482497215271
3,0_A1,10,13.023576736450195
3,0_A1,11,1.1244202852249146
3,0_A1,12,1.2351698875427246
3,0_A1,13,10.039112091064453
3,0_A1,14,0.49055370688438416
3,0_A1,15,15.345075607299805
3,0_A1,16,12.487798690795898
4,0_A1,1,10.729805946350098
4,0_A1,2,6.226425647735596
4,0_A1,3,3.1445705890655518
4,0_A1,4,13.2767915725708
4,0_A1,5,6.184225559234619
4,0_A1,6,7.055753707885742
4,0_A1,7,12.65046501159668
4,0_A1,8,3.315196990966797
4,0_A1,9,4.4874587059021
4,0_A1,10,11.670796394348145
4,0_A1,11,0.45679575204849243
4,0_A1,12,8.36356258392334
4,0_A1,13,7.762657642364502
4,0_A1,14,11.965042114257812
5,0_A1,1,8.227356910705566
5,0_A1,2,4.618374347686768
5,0_A1,3,2.9918620586395264
5,0_A1,4,18.967835068702698
5,0_A1,5,8.002943992614746
5,0_A1,6,7.189960956573486
5,0_A1,7,13.064236640930176
5,0_A1,8,3.3376388549804688
5,0_A1,9,9.50125503540039
5,0_A1,10,9.457189559936523
5,0_A1,11,0.8412266969680786
5,0_A1,12,4.318198204040527
5,0_A1,13,1.3335580825805664
5,0_A1,14,4.759235382080078
5,0_A1,15,1.253427505493164
5,0_A1,16,4.454383850097656
5,0_A1,17,4.36584997177124
5,0_A1,18,0.07903243601322174
5,0_A1,19,7.816854000091553
6,0_A1,1,10.729805946350098
6,0_A1,2,6.226425647735596
6,0_A1,3,3.1445705890655518
6,0_A1,4,12.503931999206543
6,0_A1,5,6.2160258293151855
6,0_A1,6,6.705583572387695
6,0_A1,7,13.000290870666504
6,0_A1,8,2.6237454414367676
6,0_A1,9,2.9988129138946533
6,0_A1,10,13.979235649108887
6,0_A1,11,1.167891263961792
6,0_A1,12,2.156871795654297
6,0_A1,13,9.145487785339355
6,0_A1,14,12.416523933410645
6,0_A1,15,13.048894882202148
7,0_A1,1,8.227356910705566
7,0_A1,2,4.618374347686768
7,0_A1,3,2.9918620586395264
7,0_A1,4,14.063057899475098
7,0_A1,5,7.179824352264404
7,0_A1,6,7.768975257873535
7,0_A1,7,5.875980377197266
7,0_A1,8,10.120208740234375
7,0_A1,9,3.5145809650421143
7,0_A1,10,2.6200432777404785
7,0_A1,11,17.470139399170876
7,0_A1,12,0.9587416052818298
7,0_A1,13,3.2502756118774414
7,0_A1,14,11.09688949584961
7,0_A1,15,1.1686320304870605
7,0_A1,16,13.106632232666016
7,0_A1,17,11.670995712280273
8,0_A1,1,8.227356910705566
8,0_A1,2,6.956744194030762
8,0_A1,3,3.439497470855713
8,0_A1,4,12.948403358459473
8,0_A1,5,5.722119331359863
8,0_A1,6,6.848593711853027
8,0_A1,7,14.033675193786621
8,0_A1,8,4.197661876678467
8,0_A1,9,2.2673981189727783
8,0_A1,10,11.590668678283691
8,0_A1,11,8.010895729064941
8,0_A1,12,5.9348063468933105
8,0_A1,13,15.603387832641602
8,0_A1,14,4.515756130218506
8,0_A1,15,5.1584296226501465
8,0_A1,16,9.346247673034668
9,0_A1,1,8.227356910705566
9,0_A1,2,4.618374347686768
9,0_A1,3,2.9918620586395264
9,0_A1,4,16.1751708984375
9,0_A1,5,8.457124710083008
9,0_A1,6,6.450977325439453
9,0_A1,7,11.390349388122559
9,0_A1,8,4.500309467315674
9,0_A1,9,3.2612149715423584
9,0_A1,10,9.58135986328125
9,0_A1,11,4.917811393737793
9,0_A1,12,5.740401268005371
9,0_A1,13,7.41234016418457
9,0_A1,14,9.556946754455566
10,0_A1,1,10.729805946350098
10,0_A1,2,6.226425647735596
10,0_A1,3,3.1445705890655518
10,0_A1,4,11.979717254638672
10,0_A1,5,4.432547092437744
10,0_A1,6,6.461416721343994
10,0_A1,7,6.606600284576416
10,0_A1,8,13.944755554199219
10,0_A1,9,2.4307360649108887
10,0_A1,10,3.111865997314453
10,0_A1,11,13.842116355895996
10,0_A1,12,0.5069006085395813
10,0_A1,13,5.0616559982299805
10,0_A1,14,7.034881114959717
10,0_A1,15,2.5933961868286133
10,0_A1,16,3.9194295406341553
10,0_A1,17,8.679693222045898
10,0_A1,18,12.161280632019043
10,0_A1,19,10.439719200134277
