"#Data from Sprouse, Jon, Carson T. Schütze, & Diogo Almeida. 2013. A comparison of informal and formal acceptability judgments using a random sample from Linguistic Inquiry 2001-2010. Lingua 134: 219-248.",,,,,,
#This data is provided in the spirit of open science so that other researchers can verify the analyses.,,,,,,
#Please contact Jon Sprouse if you would like to discuss the possibility of using this data set for novel research.,,,,,,
"#If you are using R to read this file, try adding skip=5 to the read function.",,,,,,
,,,,,,
participant,survey,order,judgment,item,condition,zscores
1,1.1,72,200,33.4.neeleman.18c.g.04,33.4.neeleman.18c.g,1.33136131
1,1.1,73,190,32.4.lopez.10a.*.03,32.4.lopez.10a.*,1.191070339
1,1.1,74,200,34.3.heycock.16.g.02,34.3.heycock.16.g,1.33136131
1,1.1,75,29,34.4.boskovic.3e.*.01,34.4.boskovic.3e.*,-1.067614285
1,1.1,76,95,34.1.fox.23.g.04,34.1.fox.23.g,-0.14169388
1,1.1,77,20,34.1.phillips.3e.*.05,34.1.phillips.3e.*,-1.193876159
1,1.1,78,200,32.1.martin.1a.g.08,32.1.martin.1a.g,1.33136131
1,1.1,79,5,32.3.fanselow.59b.*.01,32.3.fanselow.59b.*,-1.404312614
1,1.1,80,195,41.4.Haegeman.4c.g.06,41.4.Haegeman.4c.g,1.261215824
1,1.1,81,75,38.4.kallulli.10b.*.05,38.4.kallulli.10b.*,-0.422275821
1,1.1,82,100,35.3.hazout.67a.g.08,35.3.hazout.67a.g,-0.071548395
1,1.1,83,55,41.4.Haegeman.18a.*.07,41.4.Haegeman.18a.*,-0.702857762
1,1.1,84,195,34.4.haegeman.2a.*.01,34.4.haegeman.2a.*,1.261215824
1,1.1,85,70,38.4.kallulli.10a.g.06,38.4.kallulli.10a.g,-0.492421306
1,1.1,86,115,34.1.phillips.96a.*.03,34.1.phillips.96a.*,0.138888061
1,1.1,87,1,35.1.mcginnis.32b.*.01,35.1.mcginnis.32b.*,-1.460429003
1,1.1,88,87,32.3.Culicover.49a.g.08,32.3.Culicover.49a.g,-0.253926657
1,1.1,89,10,32.1.martin.93b.*.03,32.1.martin.93b.*,-1.334167129
1,1.1,90,85,35.3.hazout.67c.*.07,35.3.hazout.67c.*,-0.281984851
1,1.1,91,99,32.2.stroik.4b.*.05,32.2.stroik.4b.*,-0.085577492
1,1.1,92,100,34.4.haegeman.2a.g.02,34.4.haegeman.2a.g,-0.071548395
1,1.1,93,165,33.2.bowers.13a.g.06,33.2.bowers.13a.g,0.840342913
1,1.1,94,5,38.3.hirose.4a.*.03,38.3.hirose.4a.*,-1.404312614
1,1.1,95,5,35.1.bhatt.94b.g.04,35.1.bhatt.94b.g,-1.404312614
1,1.1,96,200,38.3.hirose.3a.g.04,38.3.hirose.3a.g,1.33136131
1,1.1,97,25,41.2.Bruening.33a.*.05,41.2.Bruening.33a.*,-1.123730673
1,1.1,98,99,34.1.phillips.96a.g.04,34.1.phillips.96a.g,-0.085577492
1,1.1,99,195,32.1.martin.92b.g.04,32.1.martin.92b.g,1.261215824
1,1.1,100,75,41.3.Vicente.4a1.g.08,41.3.Vicente.4a1.g,-0.422275821
1,1.1,101,15,33.4.neeleman.18d.*.03,33.4.neeleman.18d.*,-1.264021644
1,1.1,102,115,34.1.basilico.44a.?.02,34.1.basilico.44a.?,0.138888061
1,1.1,103,75,32.3.fanselow.58a.g.02,32.3.fanselow.58a.g,-0.422275821
1,1.1,104,15,40.1.caponigro.23a.*.03,40.1.caponigro.23a.*,-1.264021644
1,1.1,105,3,37.2.Sigurdsson.3d.*.07,37.2.Sigurdsson.3d.*,-1.432370808
1,1.1,106,180,34.1.basilico.62.g.08,34.1.basilico.62.g,1.050779369
2,1.1,7,200,34.1.fox.26.*.03,34.1.fox.26.*,3.507288753
2,1.1,8,50,35.3.richards.17b.*.07,35.3.richards.17b.*,-0.863304888
2,1.1,9,75,32.1.martin.69a.g.02,32.1.martin.69a.g,-0.134872615
2,1.1,10,100,41.3.Vicente.5a.*.05,41.3.Vicente.5a.*,0.593559659
2,1.1,11,25,32.2.nunes.3a.g.02,32.2.nunes.3a.g,-1.591737162
2,1.1,12,90,33.1.fox.65b.*.05,33.1.fox.65b.*,0.302186749
2,1.1,13,60,41.3.Vicente.4a3.*.07,41.3.Vicente.4a3.*,-0.571931979
2,1.1,14,100,41.4.Haegeman.18a.g.08,41.4.Haegeman.18a.g,0.593559659
2,1.1,15,98,33.1.denDikken.58a.g.04,33.1.denDikken.58a.g,0.535285077
2,1.1,16,96,34.1.basilico.96b.g.08,34.1.basilico.96b.g,0.477010495
2,1.1,17,75,33.2.bowers.69a.g.02,33.2.bowers.69a.g,-0.134872615
2,1.1,18,120,41.1.Muller.14c.g.02,41.1.Muller.14c.g,1.176305478
2,1.1,19,120,41.3.Rezac.3b2.*.03,41.3.Rezac.3b2.*,1.176305478
2,1.1,20,40,37.3.becker.5a.g.02,37.3.becker.5a.g,-1.154677798
2,1.1,21,65,33.2.bowers.69b.*.01,33.2.bowers.69b.*,-0.426245524
2,1.1,22,70,32.2.stroik.17a.*.01,32.2.stroik.17a.*,-0.280559069
2,1.1,23,64,37.2.Sigurdsson.2a.g.08,37.2.Sigurdsson.2a.g,-0.455382815
2,1.1,24,50,34.3.takano.9e.*.05,34.3.takano.9e.*,-0.863304888
2,1.1,25,110,41.2.Bruening.33a.g.06,41.2.Bruening.33a.g,0.884932568
2,1.1,26,90,35.2.larson.44c.??.05,35.2.larson.44c.??,0.302186749
2,1.1,27,50,32.1.martin.2c.*.07,32.1.martin.2c.*,-0.863304888
2,1.1,28,115,41.4.Haegeman.4a.*.05,41.4.Haegeman.4a.*,1.030619023
2,1.1,29,75,34.4.boskovic.3a.*.03,34.4.boskovic.3a.*,-0.134872615
2,1.1,30,70,33.2.bowers.13a.*.05,33.2.bowers.13a.*,-0.280559069
2,1.1,31,30,40.1.stepanov.4a.g.06,40.1.stepanov.4a.g,-1.446050707
2,1.1,32,80,40.1.caponigro.23cf.g.04,40.1.caponigro.23cf.g,0.01081384
2,1.1,33,83,33.4.neeleman.100.g.06,33.4.neeleman.100.g,0.098225713
2,1.1,34,75,32.3.fanselow.58b.*.01,32.3.fanselow.58b.*,-0.134872615
2,1.1,35,120,32.3.Culicover.28c.g.08,32.3.Culicover.28c.g,1.176305478
2,1.1,36,100,32.3.Culicover.49a.*.07,32.3.Culicover.49a.*,0.593559659
2,1.1,37,50,34.2.caponigro.13b.*.05,34.2.caponigro.13b.*,-0.863304888
2,1.1,38,25,34.3.heycock.16.*.01,34.3.heycock.16.*,-1.591737162
2,1.1,39,50,35.1.mcginnis.32b.g.02,35.1.mcginnis.32b.g,-0.863304888
2,1.1,40,75,35.1.mcginnis.63b.*.07,35.1.mcginnis.63b.*,-0.134872615
2,1.1,41,90,35.1.bhatt.94a.*.03,35.1.bhatt.94a.*,0.302186749
2,1.1,42,88,41.1.Muller.14c.*.01,41.1.Muller.14c.*,0.243912167
2,1.1,43,105,33.1.fox.65b.g.06,33.1.fox.65b.g,0.739246113
2,1.1,44,30,32.2.nunes.3b.*.01,32.2.nunes.3b.*,-1.446050707
2,1.1,45,80,34.4.boskovic.4e.g.02,34.4.boskovic.4e.g,0.01081384
2,1.1,46,77,35.2.larson.44c.g.06,35.2.larson.44c.g,-0.076598033
2,1.1,47,50,35.1.mcginnis.63a.g.08,35.1.mcginnis.63a.g,-0.863304888
2,1.1,48,115,32.2.stroik.4a.g.06,32.2.stroik.4a.g,1.030619023
2,1.1,49,100,32.3.Culicover.28c.*.07,32.3.Culicover.28c.*,0.593559659
2,1.1,50,130,41.3.Rezac.3b1.g.04,41.3.Rezac.3b1.g,1.467678387
2,1.1,51,110,41.3.Vicente.5b.g.06,41.3.Vicente.5b.g,0.884932568
2,1.1,52,60,37.1.boeckx.5.*.03,37.1.boeckx.5.*,-0.571931979
2,1.1,53,50,34.3.takano.9e.g.06,34.3.takano.9e.g,-0.863304888
2,1.1,54,60,34.1.basilico.96a.??.07,34.1.basilico.96a.??,-0.571931979
2,1.1,55,57,34.1.basilico.44b.*.01,34.1.basilico.44b.*,-0.659343852
2,1.1,56,45,32.3.fanselow.59a.g.02,32.3.fanselow.59a.g,-1.008991343
2,1.1,57,40,37.3.becker.5b.*.01,37.3.becker.5b.*,-1.154677798
2,1.1,58,65,34.1.phillips.3d.g.06,34.1.phillips.3d.g,-0.426245524
2,1.1,59,75,34.4.boskovic.4a.g.04,34.4.boskovic.4a.g,-0.134872615
2,1.1,60,65,32.2.stroik.17a.g.02,32.2.stroik.17a.g,-0.426245524
2,1.1,61,75,41.3.Vicente.4a6.*.03,41.3.Vicente.4a6.*,-0.134872615
2,1.1,62,95,41.3.Vicente.4b6.g.04,41.3.Vicente.4b6.g,0.447873204
2,1.1,63,45,40.1.stepanov.4b.*.05,40.1.stepanov.4b.*,-1.008991343
2,1.1,64,50,37.1.boeckx.8.g.04,37.1.boeckx.8.g,-0.863304888
2,1.1,65,75,32.4.lopez.9a.g.04,32.4.lopez.9a.g,-0.134872615
2,1.1,66,74,33.1.denDikken.58a.*.03,33.1.denDikken.58a.*,-0.164009906
2,1.1,67,77,33.4.neeleman.100.*.05,33.4.neeleman.100.*,-0.076598033
2,1.1,68,60,32.1.martin.69b.*.01,32.1.martin.69b.*,-0.571931979
2,1.1,69,60,35.3.richards.17a.g.08,35.3.richards.17a.g,-0.571931979
2,1.1,70,50,34.1.basilico.62.*.07,34.1.basilico.62.*,-0.863304888
2,1.1,71,70,34.2.caponigro.13a.g.06,34.2.caponigro.13a.g,-0.280559069
2,1.1,72,100,33.4.neeleman.18c.g.04,33.4.neeleman.18c.g,0.593559659
2,1.1,73,95,32.4.lopez.10a.*.03,32.4.lopez.10a.*,0.447873204
2,1.1,74,25,34.3.heycock.16.g.02,34.3.heycock.16.g,-1.591737162
2,1.1,75,60,34.4.boskovic.3e.*.01,34.4.boskovic.3e.*,-0.571931979
2,1.1,76,200,34.1.fox.23.g.04,34.1.fox.23.g,3.507288753
2,1.1,77,55,34.1.phillips.3e.*.05,34.1.phillips.3e.*,-0.717618434
